date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,0.0,22.3,9.9,5.2,0.0,0.0,0.0
2014-01-02,0.0,0.0,21.7,11.7,5.9,0.0,0.0,0.0
2014-01-03,0.0,0.0,21.5,10.9,5.8,0.0,0.0,0.0
2014-01-04,0.0,0.0,21.3,11.9,5.7,0.0,0.0,0.0
2014-01-05,0.0,0.0,21.0,11.9,6.6,0.0,0.0,0.0
2014-01-06,0.0,0.0,21.7,3.9,7.0,0.0,0.0,0.0
2014-01-07,0.1,0.0,20.8,7.4,3.0,0.0,0.0,0.0
2014-01-08,3.6,0.0,20.9,11.0,4.8,0.0,0.0,0.0
2014-01-09,3.8,0.0,20.8,9.9,5.1,0.0,0.0,0.0
2014-01-10,0.0,0.0,22.0,9.9,4.5,0.0,0.0,0.0
2014-01-11,0.0,0.0,22.6,7.2,3.7,0.0,0.0,0.0
2014-01-12,2.9,0.0,22.0,9.4,5.1,0.0,0.0,0.0
2014-01-13,0.5,0.0,22.3,8.2,5.0,0.0,0.0,0.0
2014-01-14,0.0,0.0,21.9,8.5,4.9,0.0,0.0,0.0
2014-01-15,0.0,0.0,22.1,5.5,5.5,0.0,0.0,0.0
2014-01-16,0.0,0.0,21.7,6.8,4.3,0.0,0.0,0.0
2014-01-17,0.0,0.0,19.9,10.6,5.0,0.0,0.0,0.0
2014-01-18,0.0,0.0,21.9,10.1,4.8,0.0,0.0,0.0
2014-01-19,0.0,0.0,22.5,4.7,5.1,0.0,0.0,0.0
2014-01-20,0.0,0.0,23.3,3.5,5.2,0.0,0.0,0.0
2014-01-21,0.4,0.0,22.5,2.8,5.3,0.0,0.0,0.0
2014-01-22,3.3,0.0,22.5,2.0,3.1,0.0,0.0,0.0
2014-01-23,0.0,0.0,21.9,4.2,4.7,0.0,0.0,0.0
2014-01-24,0.0,0.0,19.7,7.3,5.2,0.0,0.0,0.0
2014-01-25,0.0,0.0,23.1,9.6,5.5,0.0,0.0,0.0
2014-01-26,0.0,0.0,21.1,10.4,7.4,0.0,0.0,0.0
2014-01-27,5.0,0.0,23.3,6.8,6.8,0.0,0.0,0.0
2014-01-28,9.0,0.0,21.4,5.6,3.6,0.0,0.0,0.0
2014-01-29,3.7,0.0,20.9,7.5,3.8,0.0,0.0,0.0
2014-01-30,0.0,0.0,22.1,10.5,5.0,0.0,0.0,0.0
2014-01-31,0.0,0.0,21.3,9.1,4.3,0.0,0.0,0.0
2014-02-01,4.2,0.0,21.3,9.1,3.6,0.0,0.0,0.0
2014-02-02,0.0,0.0,21.3,3.6,4.4,0.0,0.0,0.0
2014-02-03,0.0,0.0,21.5,8.8,5.0,0.0,0.0,0.0
2014-02-04,47.5,0.0,22.5,6.3,6.1,0.0,0.0,0.0
2014-02-05,9.8,0.0,22.3,7.2,2.8,0.0,0.0,0.0
2014-02-06,5.6,0.0,22.3,10.4,2.8,0.0,0.0,0.0
2014-02-07,7.2,0.0,21.7,4.7,2.2,0.0,0.0,0.0
2014-02-08,8.0,0.0,21.7,1.0,3.2,0.0,0.0,0.0
2014-02-09,11.2,0.0,21.1,7.2,2.1,0.0,0.0,0.0
2014-02-10,0.5,0.0,21.2,7.0,3.9,0.0,0.0,0.0
2014-02-11,0.3,0.0,22.3,8.2,4.0,0.0,0.0,0.0
2014-02-12,0.0,0.0,21.7,2.6,4.8,0.0,0.0,0.0
2014-02-13,0.5,0.0,22.5,5.9,3.9,0.0,0.0,0.0
2014-02-14,0.0,0.0,21.9,6.7,4.1,0.0,0.0,0.0
2014-02-15,0.0,0.0,21.7,6.7,4.6,0.0,0.0,0.0
2014-02-16,0.0,0.0,21.8,6.7,3.9,0.0,0.0,0.0
2014-02-17,0.0,0.0,22.1,6.7,4.7,0.0,0.0,0.0
2014-02-18,0.0,0.0,21.2,6.7,5.0,0.0,0.0,0.0
2014-02-19,0.0,0.0,22.3,6.7,5.2,0.0,0.0,0.0
2014-02-20,0.0,0.0,23.3,6.7,4.3,0.0,0.0,0.0
2014-02-21,0.2,0.0,22.5,10.6,3.2,0.0,0.0,0.0
2014-02-23,4.5,0.0,22.4,10.6,0.0,0.0,0.0,0.0
2014-02-24,7.6,0.0,22.6,10.6,1.7,0.0,0.0,0.0
2014-02-25,5.3,0.0,22.8,10.6,1.6,0.0,0.0,0.0
2014-02-26,11.6,0.0,21.9,10.6,3.8,0.0,0.0,0.0
2014-02-27,6.7,0.0,21.9,10.6,3.5,0.0,0.0,0.0
2014-02-28,6.7,0.0,21.9,10.6,3.5,0.0,0.0,0.0
2014-03-02,2.1,0.0,22.5,10.6,1.6,0.0,0.0,0.0
2014-03-03,3.0,0.0,22.2,6.3,2.8,0.0,0.0,0.0
2014-03-04,0.5,0.0,22.8,1.0,3.9,0.0,0.0,0.0
2014-03-05,12.0,0.0,22.0,9.3,0.7,0.0,0.0,0.0
2014-03-06,0.9,0.0,21.3,10.1,4.3,0.0,0.0,0.0
2014-03-07,0.0,0.0,21.9,9.6,4.3,0.0,0.0,0.0
2014-03-08,0.0,0.0,22.0,8.4,4.5,0.0,0.0,0.0
2014-03-09,0.0,0.0,22.3,8.4,4.5,0.0,0.0,0.0
2014-03-10,0.0,0.0,22.1,10.2,4.6,0.0,0.0,0.0
2014-03-11,0.0,0.0,22.2,9.1,4.8,0.0,0.0,0.0
2014-03-12,0.0,0.0,21.5,4.8,5.2,0.0,0.0,0.0
2014-03-13,0.0,0.0,21.7,6.9,3.3,0.0,0.0,0.0
2014-03-14,0.2,0.0,21.9,1.4,4.4,0.0,0.0,0.0
2014-03-15,10.0,0.0,21.9,0.2,2.2,0.0,0.0,0.0
2014-03-16,29.3,0.0,21.8,7.1,1.2,0.0,0.0,0.0
2014-03-17,2.9,0.0,21.9,8.4,4.4,0.0,0.0,0.0
2014-03-18,0.0,0.0,22.2,1.2,3.7,0.0,0.0,0.0
2014-03-19,1.8,0.0,21.7,3.4,2.7,0.0,0.0,0.0
2014-03-20,0.0,0.0,21.8,4.6,3.5,0.0,0.0,0.0
2014-03-21,0.0,0.0,22.1,7.3,3.5,0.0,0.0,0.0
2014-03-22,0.0,0.0,22.5,7.3,4.5,0.0,0.0,0.0
2014-03-23,0.0,0.0,22.5,7.3,4.0,0.0,0.0,0.0
2014-03-24,0.1,0.0,22.9,8.9,4.6,0.0,0.0,0.0
2014-03-25,0.5,0.0,23.1,9.1,4.6,0.0,0.0,0.0
2014-03-26,0.0,0.0,23.0,7.2,4.5,0.0,0.0,0.0
2014-03-27,0.0,0.0,23.9,3.4,4.8,0.0,0.0,0.0
2014-03-28,0.1,0.0,22.5,5.1,4.4,0.0,0.0,0.0
2014-03-29,0.8,0.0,22.7,8.3,4.5,0.0,0.0,0.0
2014-03-30,0.0,0.0,22.5,8.3,4.5,0.0,0.0,0.0
2014-03-31,18.0,0.0,23.1,8.3,3.6,0.0,0.0,0.0
2014-04-01,1.4,0.0,22.7,2.3,3.1,0.0,0.0,0.0
2014-04-02,1.6,0.0,21.7,8.3,1.9,0.0,0.0,0.0
2014-04-03,0.0,0.0,22.3,8.7,3.7,0.0,0.0,0.0
2014-04-04,0.0,0.0,23.1,9.7,3.7,0.0,0.0,0.0
2014-04-05,0.0,0.0,23.5,6.6,3.9,0.0,0.0,0.0
2014-04-06,0.0,0.0,23.5,9.1,3.5,0.0,0.0,0.0
2014-04-07,0.0,0.0,23.6,7.0,3.6,0.0,0.0,0.0
2014-04-08,48.8,0.0,22.6,4.0,3.0,0.0,0.0,0.0
2014-04-09,0.7,0.0,24.3,1.1,1.8,0.0,0.0,0.0
2014-04-10,11.8,0.0,23.5,8.8,1.0,0.0,0.0,0.0
2014-04-11,0.0,0.0,23.1,8.0,3.0,0.0,0.0,0.0
2014-04-12,0.0,0.0,22.0,9.0,3.7,0.0,0.0,0.0
2014-04-13,0.0,0.0,22.7,7.4,5.8,0.0,0.0,0.0
2014-04-14,0.0,0.0,22.7,9.6,3.3,0.0,0.0,0.0
2014-04-15,0.0,0.0,22.4,9.3,4.2,0.0,0.0,0.0
2014-04-16,0.0,0.0,21.1,1.6,4.8,0.0,0.0,0.0
2014-04-17,0.0,0.0,22.1,6.0,4.5,0.0,0.0,0.0
2014-04-18,0.0,0.0,23.0,4.7,3.6,0.0,0.0,0.0
2014-04-19,0.0,0.0,22.9,7.6,3.5,0.0,0.0,0.0
2014-04-20,0.0,0.0,21.7,10.0,3.5,0.0,0.0,0.0
2014-04-21,0.0,0.0,22.3,9.6,4.1,0.0,0.0,0.0
2014-04-22,0.0,0.0,21.2,8.9,4.4,0.0,0.0,0.0
2014-04-23,0.0,0.0,20.9,8.0,4.5,0.0,0.0,0.0
2014-04-24,0.0,0.0,22.5,9.4,4.5,0.0,0.0,0.0
2014-04-25,0.0,0.0,23.3,8.6,4.5,0.0,0.0,0.0
2014-04-26,0.4,0.0,23.0,7.3,5.0,0.0,0.0,0.0
2014-04-27,1.3,0.0,22.0,0.0,3.7,0.0,0.0,0.0
2014-04-28,3.1,0.0,21.5,8.7,2.7,0.0,0.0,0.0
2014-04-29,5.6,0.0,19.5,0.0,5.3,0.0,0.0,0.0
2014-04-30,1.5,0.0,20.7,4.0,4.8,0.0,0.0,0.0
2014-05-01,0.1,0.0,20.7,1.7,1.4,0.0,0.0,0.0
2014-05-02,0.0,0.0,21.9,9.8,4.5,0.0,0.0,0.0
2014-05-03,3.8,0.0,21.3,8.1,4.2,0.0,0.0,0.0
2014-05-04,13.3,0.0,22.2,6.8,3.2,0.0,0.0,0.0
2014-05-05,5.3,0.0,21.1,7.5,2.6,0.0,0.0,0.0
2014-05-06,4.8,0.0,22.3,2.3,2.9,0.0,0.0,0.0
2014-05-07,18.0,0.0,22.1,8.8,1.2,0.0,0.0,0.0
2014-05-08,5.6,0.0,21.6,6.4,3.1,0.0,0.0,0.0
2014-05-09,0.2,0.0,20.7,8.3,2.2,0.0,0.0,0.0
2014-05-10,0.0,0.0,20.5,8.6,3.0,0.0,0.0,0.0
2014-05-11,15.0,0.0,21.9,0.8,3.1,0.0,0.0,0.0
2014-05-12,4.4,0.0,19.8,5.0,2.4,0.0,0.0,0.0
2014-05-13,0.9,0.0,18.4,9.7,3.4,0.0,0.0,0.0
2014-05-14,0.0,0.0,18.9,2.1,3.5,0.0,0.0,0.0
2014-05-15,4.4,0.0,22.1,0.0,3.0,0.0,0.0,0.0
2014-05-16,32.6,0.0,22.3,0.1,0.4,0.0,0.0,0.0
2014-05-17,13.2,0.0,22.1,4.2,0.4,0.0,0.0,0.0
2014-05-18,0.0,0.0,22.1,2.4,2.4,0.0,0.0,0.0
2014-05-19,6.3,0.0,21.8,3.6,1.3,0.0,0.0,0.0
2014-05-20,6.4,0.0,21.3,3.6,1.3,0.0,0.0,0.0
2014-05-21,8.7,0.0,21.9,3.6,1.3,0.0,0.0,0.0
2014-05-22,0.0,0.0,22.5,3.6,1.3,0.0,0.0,0.0
2014-05-23,0.0,0.0,21.8,3.6,1.3,0.0,0.0,0.0
2014-05-24,0.0,0.0,23.0,3.6,1.3,0.0,0.0,0.0
