date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,29.8,0.0,6.9,3.6,0.0,0.0,3.3
2014-01-02,0.0,29.6,0.0,8.3,3.8,0.0,0.0,2.35
2014-01-03,0.0,28.4,0.0,7.3,4.7,0.0,0.0,3.7
2014-01-04,0.0,28.8,0.0,7.7,4.2,0.0,0.0,1.7
2014-01-05,0.0,29.8,0.0,6.5,4.3,0.0,0.0,2.65
2014-01-06,0.0,26.6,0.0,0.8,3.2,0.0,0.0,0.65
2014-01-07,0.0,26.2,0.0,2.3,2.4,0.0,0.0,2.45
2014-01-08,0.0,28.8,0.0,5.0,2.5,0.0,0.0,1.8
2014-01-09,0.0,28.8,0.0,5.0,3.2,0.0,0.0,3.15
2014-01-10,0.0,27.4,0.0,1.4,3.3,0.0,0.0,5.0
2014-01-11,0.0,28.2,0.0,6.9,13.6,0.0,0.0,1.85
2014-01-12,4.3,27.8,0.0,5.4,2.0,0.0,0.0,1.35
2014-01-13,0.0,28.2,0.0,2.7,2.6,0.0,0.0,2.65
2014-01-14,0.0,27.4,0.0,0.7,1.8,0.0,0.0,3.7
2014-01-15,0.0,28.6,0.0,3.2,1.2,0.0,0.0,2.65
2014-01-16,0.0,29.8,0.0,7.1,2.4,0.0,0.0,1.35
2014-01-17,0.0,31.2,0.0,5.8,3.5,0.0,0.0,2.1
2014-01-18,0.0,31.4,0.0,4.8,4.0,0.0,0.0,2.0
2014-01-19,0.0,30.6,0.0,8.2,3.0,0.0,0.0,3.05
2014-01-20,0.0,31.4,0.0,7.9,3.7,0.0,0.0,3.6
2014-01-21,0.0,28.6,0.0,6.2,4.2,0.0,0.0,2.8
2014-01-22,0.0,29.8,0.0,6.7,3.8,0.0,0.0,0.6
2014-01-23,0.0,29.8,0.0,7.9,3.2,0.0,0.0,1.65
2014-01-24,0.0,30.2,0.0,6.6,4.6,0.0,0.0,0.7
2014-01-25,0.0,29.8,0.0,5.8,4.8,0.0,0.0,1.95
2014-01-26,0.0,29.8,0.0,5.3,4.0,0.0,0.0,2.65
2014-01-27,0.0,26.8,0.0,1.6,3.1,0.0,0.0,2.95
2014-01-28,2.6,26.6,0.0,3.4,2.1,0.0,0.0,4.3
2014-01-29,0.0,28.6,0.0,5.0,1.9,0.0,0.0,3.0
2014-01-30,5.8,27.2,0.0,5.0,4.0,0.0,0.0,0.95
2014-01-31,1.1,28.8,0.0,5.0,1.7,0.0,0.0,2.45
2014-02-01,0.0,28.2,17.6,5.6,3.5,0.0,0.0,1.8
2014-02-02,0.0,29.8,18.4,5.3,3.4,0.0,0.0,1.95
2014-02-03,0.8,28.0,19.0,3.5,3.5,0.0,0.0,3.65
2014-02-04,0.0,28.6,19.2,4.3,2.5,0.0,0.0,2.95
2014-02-05,0.2,27.2,18.8,5.0,2.6,0.0,0.0,3.45
2014-02-06,1.6,24.2,18.6,5.0,2.8,0.0,0.0,0.8
2014-02-07,4.6,26.4,18.0,4.4,1.9,0.0,0.0,1.65
2014-02-08,0.4,26.6,19.0,6.2,2.2,0.0,0.0,2.8
2014-02-09,0.0,26.4,19.2,6.4,2.3,0.0,0.0,3.5
2014-02-10,0.8,26.2,18.6,2.7,2.2,0.0,0.0,1.5
2014-02-11,0.2,26.0,18.8,1.0,2.6,0.0,0.0,1.3
2014-02-12,0.6,28.4,19.0,5.4,2.1,0.0,0.0,2.3
2014-02-13,0.0,29.2,17.6,6.5,3.4,0.0,0.0,0.5
2014-02-14,0.0,29.0,18.6,6.0,4.1,0.0,0.0,2.95
2014-02-15,4.2,29.8,19.0,5.9,3.0,0.0,0.0,1.8
2014-02-16,2.2,28.2,18.6,5.8,3.4,0.0,0.0,2.3
2014-02-17,0.0,29.8,18.2,4.2,3.4,0.0,0.0,0.5
2014-02-18,0.0,29.4,19.0,6.7,2.9,0.0,0.0,1.0
2014-02-19,0.0,28.8,18.0,4.1,3.5,0.0,0.0,3.7
2014-02-20,0.0,28.0,18.2,2.7,3.5,0.0,0.0,4.65
2014-02-21,0.0,27.4,19.2,1.9,3.8,0.0,0.0,3.7
2014-02-22,0.2,28.0,18.8,1.7,3.4,0.0,0.0,2.45
2014-02-23,5.1,29.8,18.4,3.9,2.6,0.0,0.0,4.15
2014-02-24,0.0,29.0,19.0,6.7,3.8,0.0,0.0,4.3
2014-02-25,0.0,30.6,17.8,6.4,4.2,0.0,0.0,2.65
2014-02-26,0.0,28.8,19.0,4.1,3.8,0.0,0.0,2.3
2014-02-27,0.0,30.4,17.4,3.3,3.4,0.0,0.0,3.0
2014-02-28,0.0,28.2,19.6,3.1,3.4,0.0,0.0,3.15
2014-03-01,0.0,28.8,18.0,5.0,3.0,0.0,0.0,2.5
2014-03-02,0.0,30.0,18.0,4.9,3.9,0.0,0.0,3.5
2014-03-03,11.6,31.2,19.2,4.6,4.1,0.0,0.0,4.0
2014-03-04,0.0,31.0,19.0,5.1,4.0,0.0,0.0,3.65
2014-03-05,0.0,29.2,19.0,6.4,4.1,0.0,0.0,1.95
2014-03-06,0.0,29.0,19.2,7.1,3.8,0.0,0.0,2.5
2014-03-07,0.0,26.8,19.0,0.9,3.2,0.0,0.0,0.85
2014-03-08,6.6,27.8,18.0,0.6,1.0,0.0,0.0,1.0
2014-03-09,0.0,30.6,19.0,6.4,2.0,0.0,0.0,2.5
2014-03-10,0.0,29.6,19.0,5.7,3.4,0.0,0.0,2.1
2014-03-11,4.5,22.8,19.2,0.7,3.5,0.0,0.0,0.4
2014-03-12,37.2,25.0,18.0,1.8,0.2,0.0,0.0,0.5
2014-03-13,0.0,26.0,18.2,2.2,1.7,0.0,0.0,2.8
2014-03-14,0.0,28.0,18.6,2.0,0.7,0.0,0.0,1.0
2014-03-15,0.0,29.0,19.0,5.0,2.0,0.0,0.0,1.3
2014-03-16,0.0,28.4,19.0,1.1,2.1,0.0,0.0,1.5
2014-03-17,0.0,29.8,17.8,1.1,2.8,0.0,0.0,2.65
2014-03-18,0.0,28.4,18.8,1.6,1.9,0.0,0.0,1.8
2014-03-19,0.3,26.8,18.8,1.9,1.6,0.0,0.0,3.45
2014-03-20,0.0,28.8,18.8,2.0,1.7,0.0,0.0,0.85
2014-03-21,1.5,28.2,18.8,4.5,2.4,0.0,0.0,3.75
2014-03-22,0.0,28.0,18.8,7.1,2.8,0.0,0.0,1.3
2014-03-23,0.0,30.8,18.8,8.5,3.0,0.0,0.0,2.65
2014-03-24,0.0,29.4,18.8,7.5,3.3,0.0,0.0,2.5
2014-03-25,0.0,28.8,18.8,8.7,3.6,0.0,0.0,0.3
2014-03-26,0.0,30.0,18.8,6.7,3.0,0.0,0.0,0.5
2014-03-27,0.0,30.8,18.8,8.6,3.0,0.0,0.0,2.0
2014-03-28,0.0,30.2,18.8,5.2,4.5,0.0,0.0,2.15
2014-03-29,0.4,28.8,18.8,5.4,2.9,0.0,0.0,6.45
2014-03-30,0.0,29.4,18.8,4.9,2.6,0.0,0.0,3.95
2014-03-31,0.0,28.8,18.8,4.9,3.2,0.0,0.0,0.95
2014-04-01,0.2,28.2,18.8,4.9,2.3,0.0,0.0,3.1
2014-04-02,0.8,28.8,18.8,6.8,2.5,0.0,0.0,1.05
2014-04-03,0.0,27.8,18.8,6.8,2.4,0.0,0.0,0.95
2014-04-04,0.0,30.6,18.8,5.6,2.4,0.0,0.0,2.85
2014-04-05,0.0,31.8,18.8,8.6,4.0,0.0,0.0,4.0
2014-04-06,67.0,26.8,18.8,3.4,3.0,0.0,0.0,5.4
2014-04-07,23.8,28.2,18.8,3.4,0.8,0.0,0.0,2.95
2014-04-08,0.0,29.4,18.8,3.4,2.2,0.0,0.0,3.05
2014-04-09,1.2,26.6,18.8,6.7,2.1,0.0,0.0,2.85
2014-04-10,6.0,28.6,18.8,8.9,2.9,0.0,0.0,3.2
2014-04-11,0.0,28.8,18.8,8.2,2.0,0.0,0.0,0.5
2014-04-12,0.6,28.4,18.8,3.5,2.3,0.0,0.0,2.3
2014-04-13,2.2,27.4,18.8,3.5,1.2,0.0,0.0,3.3
2014-04-14,12.3,27.8,18.8,8.2,0.9,0.0,0.0,3.7
2014-04-15,1.6,25.8,18.8,1.2,1.8,0.0,0.0,0.3
2014-04-16,0.0,26.6,18.8,4.8,1.1,0.0,0.0,0.65
2014-04-17,0.0,26.8,18.8,6.1,2.2,0.0,0.0,2.9
2014-04-18,0.0,28.0,18.8,9.1,2.2,0.0,0.0,1.65
2014-04-19,0.0,28.4,18.8,8.6,3.6,0.0,0.0,1.3
2014-04-20,0.0,28.0,18.8,8.6,2.6,0.0,0.0,2.3
2014-04-21,0.0,28.6,18.8,4.9,2.4,0.0,0.0,1.65
2014-04-22,0.0,26.8,18.8,3.1,1.9,0.0,0.0,0.65
2014-04-23,4.4,27.2,18.8,5.8,1.6,0.0,0.0,0.8
2014-04-24,0.0,28.6,18.8,10.0,1.5,0.0,0.0,2.3
2014-04-25,0.0,30.2,18.8,9.8,2.5,0.0,0.0,1.8
2014-04-26,0.0,29.6,18.8,9.8,3.5,0.0,0.0,2.85
2014-04-27,0.0,29.2,18.8,6.1,3.0,0.0,0.0,0.3
2014-04-28,2.6,23.8,18.8,0.0,2.3,0.0,0.0,0.85
2014-04-29,10.5,23.8,18.8,1.8,0.4,0.0,0.0,3.7
2014-04-30,19.6,25.8,18.8,0.0,0.4,0.0,0.0,0.95
2014-05-01,28.2,25.8,18.0,0.0,0.1,0.0,0.0,1.8
2014-05-02,31.8,23.0,18.8,0.2,0.3,0.0,0.0,0.85
2014-05-03,5.6,24.8,19.0,2.9,0.5,0.0,0.0,3.8
2014-05-04,2.3,25.0,19.0,0.0,1.0,0.0,0.0,2.0
2014-05-05,14.2,23.2,17.2,0.4,0.2,0.0,0.0,0.95
2014-05-06,10.6,27.8,19.0,6.2,0.4,0.0,0.0,1.95
2014-05-07,1.1,23.6,18.2,0.0,1.5,0.0,0.0,2.9
2014-05-08,5.8,24.0,18.2,0.1,0.1,0.0,0.0,3.6
2014-05-09,1.2,26.2,17.8,6.3,0.8,0.0,0.0,0.5
2014-05-10,0.0,27.4,16.8,6.3,1.5,0.0,0.0,0.3
2014-05-11,0.0,25.4,17.8,3.7,1.5,0.0,0.0,1.8
2014-05-12,6.4,24.0,18.8,0.0,1.2,0.0,0.0,1.8
2014-05-13,28.6,21.8,17.8,0.0,0.1,0.0,0.0,5.0
2014-05-14,9.2,24.0,18.4,0.0,0.0,0.0,0.0,0.5
2014-05-15,14.2,25.4,19.0,2.3,0.7,0.0,0.0,4.15
2014-05-16,2.7,26.6,19.4,6.1,0.3,0.0,0.0,1.95
2014-05-17,0.0,26.2,19.0,6.0,1.7,0.0,0.0,3.65
2014-05-18,1.2,25.6,19.0,8.1,1.0,0.0,0.0,3.1
2014-05-19,0.0,26.2,17.2,5.7,1.4,0.0,0.0,0.5
2014-05-20,0.0,26.4,19.2,6.3,0.9,0.0,0.0,4.3
2014-05-21,0.5,24.8,18.2,1.2,1.6,0.0,0.0,0.3
2014-05-22,4.6,24.8,18.6,2.8,0.8,0.0,0.0,5.15
2014-05-23,5.8,26.2,19.0,8.2,1.0,0.0,0.0,3.3
2014-05-24,0.0,26.6,18.0,10.3,1.6,0.0,0.0,1.8
2014-05-25,0.0,25.8,16.8,10.3,2.0,0.0,0.0,1.3
2014-05-26,0.0,26.0,18.2,10.3,1.6,0.0,0.0,3.0
2014-05-27,0.0,25.8,16.6,5.7,1.4,0.0,0.0,0.3
2014-05-28,0.0,25.8,16.6,5.7,1.4,0.0,0.0,0.3
2014-05-29,0.0,25.8,17.8,5.7,1.4,0.0,0.0,0.95
2014-05-30,1.1,25.0,18.2,5.7,1.1,0.0,0.0,3.15
2014-05-31,1.4,23.8,18.2,5.7,1.2,0.0,0.0,0.65
2014-06-01,4.0,25.4,18.4,5.7,0.4,0.0,0.0,2.5
2014-06-02,1.2,24.8,17.2,10.4,0.8,0.0,0.0,3.3
2014-06-03,1.2,24.8,17.2,10.4,0.8,0.0,0.0,3.3
2014-06-04,0.0,25.4,16.4,10.4,0.8,0.0,0.0,3.6
2014-06-05,0.0,26.0,18.2,7.0,1.2,0.0,0.0,2.5
2014-06-06,1.3,25.2,17.8,8.2,1.5,0.0,0.0,3.3
2014-06-07,1.2,24.8,17.8,6.8,2.0,0.0,0.0,3.15
2014-06-08,0.0,25.2,17.0,8.4,1.2,0.0,0.0,2.65
2014-06-09,0.2,26.2,18.0,7.2,1.5,0.0,0.0,1.45
2014-06-10,5.2,25.6,18.2,3.5,1.8,0.0,0.0,3.3
2014-06-11,0.6,22.8,18.0,2.8,0.8,0.0,0.0,2.95
2014-06-12,10.2,23.2,17.2,3.5,0.8,0.0,0.0,2.0
2014-06-13,18.4,22.6,18.2,3.5,0.3,0.0,0.0,1.8
2014-06-14,8.4,22.0,18.0,3.5,0.4,0.0,0.0,2.65
2014-06-15,5.0,22.8,18.0,0.3,0.3,0.0,0.0,2.65
2014-06-16,8.9,24.6,16.4,7.3,0.7,0.0,0.0,3.8
2014-06-17,0.0,24.6,16.4,7.3,0.7,0.0,0.0,5.0
2014-06-18,10.2,22.8,17.8,0.1,0.7,0.0,0.0,5.0
2014-06-19,8.6,24.2,17.2,7.9,0.2,0.0,0.0,1.3
2014-06-20,0.8,24.4,16.0,7.9,0.2,0.0,0.0,0.5
2014-06-21,1.2,24.8,18.0,0.0,0.9,0.0,0.0,2.45
2014-06-22,1.1,24.4,18.2,0.0,0.6,0.0,0.0,1.5
2014-06-23,11.8,22.6,18.4,0.0,0.7,0.0,0.0,2.0
2014-06-24,1.4,21.8,18.0,0.0,0.6,0.0,0.0,1.0
2014-06-25,6.6,24.0,17.4,0.0,0.5,0.0,0.0,2.45
2014-06-26,1.1,21.8,17.2,0.0,0.8,0.0,0.0,1.3
2014-06-27,6.2,23.6,18.0,0.0,0.5,0.0,0.0,2.05
2014-06-28,3.2,24.6,18.2,0.0,0.5,0.0,0.0,2.45
2014-06-29,1.7,24.8,18.4,0.0,0.8,0.0,0.0,3.3
2014-06-30,2.3,25.0,19.0,0.0,1.0,0.0,0.0,1.95
2014-07-01,0.0,25.2,15.2,8.7,2.0,0.0,0.0,0.3
2014-07-02,0.0,24.8,16.4,5.8,3.2,0.0,0.0,0.65
2014-07-03,15.4,20.8,15.8,5.8,1.2,0.0,0.0,2.45
2014-07-04,0.7,23.2,15.8,6.9,0.2,0.0,0.0,2.45
2014-07-05,0.3,24.0,14.6,8.5,1.5,0.0,0.0,1.15
2014-07-06,6.0,24.4,17.0,3.4,1.4,0.0,63.0,2.45
2014-07-07,7.4,26.8,16.0,7.0,0.6,0.0,63.0,2.45
2014-07-08,6.0,24.4,18.0,3.8,0.6,0.0,63.0,4.8
2014-07-09,5.1,23.0,16.8,4.3,1.4,0.0,63.0,4.55
2014-07-10,1.2,22.4,17.0,5.1,1.4,0.0,63.0,2.35
2014-07-11,0.2,24.8,15.2,7.2,1.2,0.0,63.0,0.95
2014-07-12,0.0,25.2,14.4,7.1,0.9,0.0,63.0,2.0
2014-07-13,4.2,25.4,13.2,0.7,1.0,0.0,63.0,0.85
2014-07-14,4.4,23.0,17.0,0.0,0.7,0.0,63.0,3.8
2014-07-15,2.8,21.8,17.0,0.0,0.6,0.0,63.0,2.45
2014-07-16,5.1,24.2,17.4,5.3,0.3,0.0,63.0,2.95
2014-07-17,0.0,22.8,17.0,1.7,1.3,0.0,63.0,1.85
2014-07-18,17.2,23.2,17.2,0.0,0.4,0.0,63.0,0.65
2014-07-19,6.0,23.4,18.0,0.0,0.6,0.0,63.0,1.0
2014-07-20,6.8,24.2,17.8,6.2,0.8,0.0,63.0,2.15
2014-07-21,0.0,23.8,15.8,8.4,2.0,0.0,63.0,3.15
2014-07-22,1.7,26.8,13.6,5.9,2.0,0.0,63.0,3.7
2014-07-23,1.4,21.8,13.6,5.9,2.0,0.0,63.0,4.1
2014-07-24,1.2,22.6,18.0,3.3,2.0,0.0,63.0,4.8
2014-07-25,3.0,22.8,15.8,0.6,1.0,0.0,63.0,5.8
2014-07-26,3.2,24.6,16.0,7.0,0.5,0.0,63.0,1.8
2014-07-27,0.0,22.6,14.8,0.4,0.9,0.0,63.0,3.85
2014-07-28,25.7,24.4,18.0,6.8,0.6,0.0,63.0,2.0
2014-07-29,10.8,22.8,16.8,4.7,1.0,0.0,63.0,4.95
2014-07-30,6.0,22.0,17.2,4.1,1.5,0.0,63.0,2.15
2014-07-31,2.9,22.8,15.0,7.9,1.0,0.0,63.0,2.5
2014-08-01,0.9,24.0,18.0,5.1,1.2,0.0,63.0,0.5
2014-08-02,0.4,24.2,18.2,5.2,1.0,0.0,63.0,1.45
2014-08-03,1.2,23.6,18.0,4.9,1.1,0.0,63.0,0.5
2014-08-04,0.0,24.8,15.2,8.7,1.4,0.0,63.0,1.85
2014-08-05,0.0,25.6,16.2,7.9,1.3,0.0,63.0,0.3
2014-08-06,0.0,22.8,15.8,2.4,1.2,0.0,63.0,2.75
2014-08-07,18.8,24.0,17.6,2.6,0.5,0.0,63.0,0.8
2014-08-08,26.6,20.2,16.6,0.0,0.9,0.0,63.0,3.75
2014-08-09,10.4,20.8,14.2,0.0,0.3,0.0,63.0,1.4
2014-08-10,16.2,20.8,15.4,0.0,0.8,0.0,63.0,2.85
2014-08-11,10.6,23.0,17.6,5.6,0.4,0.0,63.0,1.65
2014-08-12,0.1,20.8,14.8,5.6,1.8,0.0,63.0,0.5
2014-08-13,2.2,21.8,16.4,1.1,0.8,0.0,63.0,0.85
2014-08-14,3.6,24.0,16.4,8.6,0.8,0.0,63.0,1.0
2014-08-15,0.6,23.8,16.6,5.7,0.8,0.0,63.0,1.15
2014-08-16,12.8,23.2,16.4,5.2,1.0,0.0,63.0,4.65
2014-08-17,4.2,22.4,16.2,5.3,1.5,0.0,63.0,4.5
2014-08-18,5.8,23.0,14.6,6.1,1.0,0.0,63.0,1.6
2014-08-19,0.4,21.8,17.0,6.1,2.2,0.0,63.0,1.45
2014-08-20,0.0,24.2,15.6,7.6,0.8,0.0,63.0,1.2
2014-08-21,0.0,24.2,15.6,7.6,0.8,0.0,63.0,1.2
2014-08-22,13.0,23.0,14.8,5.7,0.8,0.0,63.0,4.15
2014-08-23,0.4,21.6,15.2,3.8,1.6,0.0,63.0,2.25
2014-08-24,0.0,23.0,14.2,3.5,0.8,0.0,63.0,2.5
2014-08-25,0.0,23.4,17.8,4.6,1.3,0.0,63.0,3.15
2014-08-26,1.5,22.8,15.8,3.0,1.1,0.0,63.0,1.8
2014-08-27,1.6,24.6,17.2,3.3,1.6,0.0,63.0,2.5
2014-08-28,0.0,22.6,16.2,0.8,1.8,0.0,63.0,0.5
2014-08-29,0.0,25.0,17.6,1.8,0.8,0.0,63.0,3.5
2014-08-30,0.0,25.2,17.4,4.6,1.3,0.0,63.0,2.65
2014-08-31,0.0,25.8,17.0,4.6,2.0,0.0,63.0,3.45
2014-09-01,0.0,23.2,15.4,2.3,2.7,0.0,63.0,0.3
2014-09-02,0.0,27.8,16.0,7.5,1.4,0.0,63.0,1.8
2014-09-03,0.0,28.2,15.8,8.1,2.0,0.0,63.0,4.95
2014-09-04,0.0,28.6,21.0,7.0,2.1,0.0,63.0,3.95
2014-09-05,0.0,24.8,17.2,1.6,2.5,0.0,63.0,3.8
2014-09-06,8.1,21.6,13.8,1.5,0.9,0.0,63.0,4.55
2014-09-07,7.7,19.6,15.2,0.0,0.2,0.0,63.0,5.95
2014-09-08,15.9,21.8,16.2,0.0,0.1,0.0,63.0,2.65
2014-09-09,10.7,21.6,16.4,0.0,0.2,0.0,63.0,4.95
2014-09-10,2.7,23.4,18.4,2.0,0.4,0.0,63.0,3.5
2014-09-11,8.3,23.4,16.8,0.2,1.4,0.0,63.0,6.2
2014-09-12,7.3,22.8,17.2,0.0,0.4,0.0,63.0,0.5
2014-09-13,2.0,24.0,17.0,0.0,0.5,0.0,63.0,2.45
2014-09-14,0.4,24.2,17.4,1.7,1.0,0.0,63.0,2.35
2014-09-15,0.0,24.8,15.4,0.0,3.5,0.0,63.0,2.05
2014-09-16,0.0,25.6,15.8,1.1,1.5,0.0,63.0,1.3
2014-09-17,0.0,25.6,15.2,0.0,1.7,0.0,63.0,1.5
2014-09-18,0.0,25.2,17.8,0.2,1.8,0.0,63.0,2.8
2014-09-19,0.3,23.8,15.8,0.0,1.3,0.0,63.0,2.85
2014-09-20,5.0,25.8,15.8,0.0,0.7,0.0,63.0,4.3
2014-09-21,0.0,26.8,17.4,0.0,2.0,0.0,63.0,0.95
2014-09-22,0.0,28.6,19.0,0.0,2.2,0.0,63.0,4.8
2014-09-23,0.0,25.8,17.2,0.0,1.4,0.0,63.0,2.85
2014-09-24,0.0,25.8,18.8,0.0,1.8,0.0,63.0,4.0
2014-09-25,0.0,25.8,15.8,0.1,1.6,0.0,63.0,3.3
2014-09-26,0.0,25.4,17.0,0.1,2.1,0.0,63.0,2.95
2014-09-27,0.0,26.4,17.2,0.1,2.0,0.0,63.0,4.15
2014-09-28,0.0,26.2,17.4,0.1,2.1,0.0,63.0,4.45
2014-09-29,0.0,26.6,16.2,2.9,4.1,0.0,63.0,3.7
2014-10-01,0.0,27.8,14.4,2.8,4.1,0.0,63.0,0.85
2014-10-02,0.0,27.8,14.4,2.8,4.1,0.0,63.0,0.85
2014-10-03,1.0,24.6,15.8,0.0,4.1,0.0,63.0,4.15
2014-10-04,7.8,22.6,13.2,0.0,0.5,0.0,63.0,2.45
2014-10-05,11.7,22.6,16.2,0.0,0.5,0.0,63.0,0.7
2014-10-06,52.0,21.4,17.4,0.0,0.1,0.0,63.0,1.3
2014-10-07,48.8,19.8,14.0,0.0,0.1,0.0,63.0,1.15
2014-10-08,30.7,21.4,17.2,0.0,0.1,0.0,63.0,2.65
2014-10-09,7.5,23.8,16.2,0.1,0.4,0.0,63.0,4.15
2014-10-10,0.8,23.8,18.0,0.0,1.4,0.0,63.0,1.15
2014-10-11,4.4,23.2,18.0,0.0,0.7,0.0,63.0,2.45
2014-10-12,2.0,25.4,18.2,0.1,0.8,0.0,63.0,3.45
2014-10-13,1.4,25.2,15.8,0.0,2.5,0.0,63.0,3.5
2014-10-14,0.0,25.8,14.4,0.0,2.2,0.0,63.0,3.15
2014-10-15,0.0,26.4,15.4,0.0,1.0,0.0,63.0,2.65
2014-10-16,0.0,25.4,19.0,0.0,2.3,0.0,63.0,3.3
2014-10-17,2.5,24.6,17.4,0.0,1.5,0.0,63.0,2.45
2014-10-18,0.0,26.2,16.8,0.0,1.0,0.0,63.0,2.45
2014-10-19,0.0,26.8,17.2,0.0,1.5,0.0,63.0,4.15
2014-10-20,0.0,26.6,19.2,2.3,2.2,0.0,63.0,4.8
2014-10-21,0.0,27.2,17.4,1.9,2.3,0.0,63.0,3.5
2014-10-22,0.0,25.4,20.0,1.8,1.3,0.0,63.0,4.15
2014-10-23,0.6,24.6,17.8,0.2,1.4,0.0,63.0,1.95
2014-10-24,1.6,22.6,19.8,0.1,0.6,0.0,63.0,2.65
2014-10-25,0.6,25.8,20.0,4.1,1.4,0.0,63.0,4.65
2014-10-26,0.2,26.4,20.2,0.0,3.0,0.0,63.0,4.15
2014-10-27,0.0,26.4,17.0,1.9,2.0,0.0,63.0,3.05
2014-10-29,0.0,26.4,18.6,1.0,2.0,0.0,63.0,6.2
2014-10-30,0.0,26.4,18.6,0.7,3.0,0.0,63.0,6.2
2014-10-31,0.0,26.4,18.6,0.0,3.0,0.0,63.0,3.3
2014-11-01,0.0,26.4,18.6,0.8,1.9,0.0,63.0,7.35
2014-11-02,0.0,26.4,18.6,1.4,2.0,0.0,63.0,2.25
2014-11-03,0.0,26.0,18.6,2.0,2.2,0.0,63.0,1.5
2014-11-04,0.0,25.8,18.6,2.7,2.4,0.0,63.0,2.85
2014-11-05,0.0,25.8,18.6,2.8,2.5,0.0,63.0,3.1
2014-11-06,0.0,26.8,18.6,2.0,2.9,0.0,63.0,3.5
2014-11-07,0.2,25.0,18.6,0.0,1.9,0.0,63.0,0.85
2014-11-08,1.4,26.0,18.6,4.2,2.0,0.0,63.0,3.5
2014-11-09,0.0,27.6,18.6,6.5,1.9,0.0,63.0,3.65
2014-11-10,0.0,29.4,18.6,4.1,2.0,0.0,63.0,3.15
2014-11-11,0.0,28.4,18.6,2.9,2.2,0.0,63.0,4.3
2014-11-12,0.0,29.2,18.6,2.9,2.2,0.0,63.0,7.45
2014-11-13,0.0,27.6,18.6,1.0,3.0,0.0,63.0,4.1
2014-11-14,0.0,29.4,18.6,6.5,3.6,0.0,63.0,5.1
2014-11-15,0.0,30.8,18.6,6.4,4.4,0.0,63.0,5.8
2014-11-16,0.0,32.8,18.6,5.3,4.4,0.0,63.0,3.65
2014-11-17,0.0,27.8,18.6,5.3,4.4,0.0,63.0,2.5
2014-11-18,5.7,20.8,18.6,4.1,1.8,0.0,63.0,1.95
2014-11-20,0.0,27.0,18.6,4.9,1.8,0.0,63.0,3.5
2014-11-21,0.0,26.2,18.6,2.9,2.4,0.0,63.0,4.5
2014-11-22,0.0,24.4,18.6,6.2,2.2,0.0,63.0,3.8
2014-11-23,2.4,26.0,18.6,4.9,2.8,0.0,63.0,3.5
2014-11-24,0.0,28.0,18.6,6.0,3.3,0.0,63.0,4.9
2014-11-26,0.0,28.0,18.6,6.0,3.3,0.0,63.0,4.1
2014-11-27,0.0,26.0,18.6,3.1,2.7,0.0,63.0,2.8
2014-11-28,4.2,26.2,18.6,2.6,0.8,0.0,63.0,3.0
2014-11-29,2.2,26.8,18.6,2.8,1.0,0.0,63.0,2.85
2014-11-30,0.0,26.8,18.6,5.6,2.0,0.0,63.0,2.25
2014-12-01,0.0,28.2,18.6,5.6,2.6,0.0,63.0,2.3
2014-12-02,0.0,26.2,18.6,1.7,1.4,0.0,63.0,2.45
2014-12-03,2.3,24.2,18.6,0.3,1.5,0.0,63.0,1.6
2014-12-04,2.5,21.0,18.6,0.0,1.0,0.0,63.0,0.4
2014-12-05,12.5,28.4,18.6,3.7,0.5,0.0,63.0,4.15
2014-12-06,0.0,27.4,18.6,3.7,3.5,0.0,63.0,3.05
2014-12-07,0.0,26.4,18.6,0.3,3.5,0.0,63.0,0.3
2014-12-08,0.0,26.6,18.6,3.1,5.5,0.0,63.0,0.95
2014-12-09,0.0,26.8,18.6,3.8,2.0,0.0,63.0,2.0
2014-12-10,0.0,27.4,18.6,2.3,2.0,0.0,63.0,2.3
2014-12-11,0.0,27.6,18.6,4.9,2.6,0.0,63.0,4.55
2014-12-12,0.6,28.2,18.6,3.9,2.3,0.0,63.0,2.05
2014-12-13,0.0,27.0,18.6,4.3,1.6,0.0,63.0,3.95
2014-12-14,0.0,28.6,18.6,7.1,2.2,0.0,63.0,5.65
2014-12-15,0.0,27.8,18.6,2.9,2.5,0.0,63.0,2.6
2014-12-16,0.0,26.8,18.6,0.3,2.9,0.0,63.0,4.15
2014-12-17,0.0,26.4,18.6,0.0,3.0,0.0,63.0,2.65
2014-12-18,0.0,27.8,18.6,2.1,2.4,0.0,63.0,3.3
2014-12-19,0.0,28.8,18.6,2.9,3.0,0.0,63.0,5.2
2014-12-20,0.0,27.8,18.6,5.8,2.8,0.0,63.0,5.1
2014-12-21,0.0,28.2,18.6,4.9,2.8,0.0,63.0,3.5
2014-12-22,0.0,28.2,18.6,7.7,3.4,0.0,63.0,3.3
2015-01-06,0.0,28.8,18.6,3.0,3.4,0.0,63.0,1.8
2015-01-07,0.0,25.2,18.6,3.0,3.9,0.0,63.0,4.15
2015-01-08,1.4,28.2,18.6,4.5,3.0,0.0,63.0,3.3
2015-01-09,0.0,26.2,18.6,4.5,3.4,0.0,63.0,1.35
2015-01-10,0.0,27.4,18.6,5.0,3.2,0.0,63.0,1.8
