date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,3.0,33.7,0.0,5.6,1.8,0.0,77.0,0.333333
2014-01-02,0.3,34.5,0.0,8.7,2.8,0.0,74.0,0.333333
2014-01-03,0.1,36.3,0.0,10.2,3.5,0.0,60.5,0.0
2014-01-04,0.6,36.3,0.0,11.0,6.7,0.0,61.75,0.333333
2014-01-05,0.0,34.9,0.0,10.9,7.3,0.0,59.75,1.0
2014-01-06,0.0,34.0,0.0,10.8,7.2,0.0,53.75,0.333333
2014-01-07,0.0,34.7,0.0,9.9,8.7,0.0,56.75,0.0
2014-01-08,0.0,33.8,0.0,9.8,8.0,0.0,58.25,0.333333
2014-01-09,0.0,35.7,0.0,7.5,6.3,0.0,53.0,0.333333
2014-01-10,0.0,34.2,0.0,9.4,8.5,0.0,60.5,0.0
2014-01-11,5.6,34.5,0.0,9.1,4.5,0.0,69.0,0.666667
2014-01-12,0.0,34.5,0.0,7.7,5.2,0.0,81.5,0.0
2014-01-13,5.2,31.9,0.0,6.8,5.3,0.0,73.5,0.333333
2014-01-14,1.8,34.2,0.0,7.9,3.5,0.0,75.75,0.666667
2014-01-15,34.3,34.0,0.0,9.0,4.0,0.0,68.0,0.0
2014-01-16,0.0,31.4,0.0,5.1,5.0,0.0,68.75,1.0
2014-01-17,4.5,31.7,0.0,5.1,4.0,0.0,81.25,0.333333
2014-01-18,33.5,32.2,0.0,10.2,2.6,0.0,71.25,0.0
2014-01-19,0.0,32.9,0.0,11.8,4.1,0.0,64.5,0.333333
2014-01-20,0.0,34.2,0.0,11.4,8.5,0.0,60.0,0.333333
2014-01-21,0.0,32.5,0.0,8.4,2.5,0.0,64.0,0.666667
2014-01-22,0.0,33.1,0.0,9.1,5.0,0.0,63.5,0.333333
2014-01-23,7.4,31.9,0.0,9.1,5.4,0.0,71.5,0.666667
2014-01-24,0.0,33.4,0.0,7.7,4.0,0.0,73.0,0.333333
2014-01-25,1.2,33.9,0.0,11.3,3.0,0.0,63.0,0.333333
2014-01-26,0.0,35.0,0.0,9.6,5.0,0.0,63.5,0.0
2014-01-27,0.0,34.5,0.0,11.3,6.8,0.0,56.0,0.666667
2014-01-28,0.0,34.1,0.0,11.5,7.7,0.0,54.5,0.333333
2014-01-29,0.0,34.5,0.0,11.6,7.5,0.0,48.0,0.333333
2014-01-30,0.0,34.9,0.0,11.6,7.9,0.0,51.25,0.333333
2014-01-31,0.0,35.5,0.0,11.5,8.2,0.0,46.0,0.0
2014-02-01,0.0,35.7,0.0,11.0,8.4,0.0,43.25,0.333333
2014-02-02,0.0,34.1,0.0,9.6,9.0,0.0,47.0,0.666667
2014-02-03,0.0,34.9,0.0,10.8,9.1,0.0,50.25,0.0
2014-02-04,0.0,36.9,0.0,10.8,7.6,0.0,48.75,0.333333
2014-02-05,0.0,37.3,0.0,11.2,9.9,0.0,50.25,0.0
2014-02-06,0.0,36.1,0.0,11.6,10.4,0.0,39.25,0.666667
2014-02-07,0.0,36.3,0.0,11.8,12.2,0.0,51.5,0.333333
2014-02-08,0.0,36.3,0.0,9.7,10.0,0.0,60.5,0.333333
2014-02-09,1.0,36.8,0.0,11.8,5.9,0.0,43.25,0.0
2014-02-10,0.0,36.1,0.0,9.6,9.8,0.0,52.0,0.333333
2014-02-11,0.0,35.5,0.0,6.4,8.1,0.0,48.0,0.333333
2014-02-12,0.0,33.7,0.0,5.2,10.7,0.0,55.25,0.333333
2014-02-13,0.0,35.3,0.0,9.4,6.9,0.0,52.0,0.333333
2014-02-14,0.0,34.3,0.0,5.8,7.4,0.0,64.5,0.666667
2014-02-15,3.2,27.5,0.0,0.4,5.0,0.0,88.0,0.0
2014-02-16,21.9,28.2,0.0,0.2,1.5,0.0,83.25,1.333333
2014-02-17,0.8,29.7,0.0,4.2,2.0,0.0,70.75,0.666667
2014-02-18,0.0,32.1,0.0,9.1,4.1,0.0,59.75,1.0
2014-02-19,0.0,32.3,0.0,11.6,8.4,0.0,60.25,0.666667
2014-02-20,0.0,34.7,0.0,9.9,8.0,0.0,50.25,1.0
2014-02-21,0.0,33.9,0.0,7.3,8.0,0.0,56.25,0.333333
2014-02-22,0.0,30.1,0.0,0.6,6.0,0.0,71.0,0.0
2014-02-23,0.0,32.7,0.0,4.5,3.7,0.0,76.5,0.333333
2014-02-24,0.1,33.7,0.0,4.2,3.1,0.0,74.5,0.333333
2014-02-25,13.4,31.4,0.0,4.1,3.6,0.0,85.75,0.666667
2014-02-26,18.1,34.5,0.0,11.5,2.4,0.0,60.5,0.0
2014-02-27,0.0,34.6,0.0,10.5,6.2,0.0,66.25,0.333333
2014-02-28,8.6,31.9,0.0,3.6,5.8,0.0,74.75,0.0
2014-03-01,35.0,30.2,0.0,5.4,3.1,0.0,77.0,0.666667
2014-03-02,0.7,32.3,0.0,10.5,3.2,0.0,62.5,0.0
2014-03-03,0.0,32.3,0.0,8.5,9.3,0.0,64.5,1.666667
2014-03-04,0.0,32.3,0.0,4.6,7.5,0.0,68.5,0.333333
2014-03-05,0.2,28.0,0.0,0.0,4.1,0.0,84.0,0.333333
2014-03-06,0.0,32.5,0.0,9.5,2.1,0.0,72.75,1.0
2014-03-07,1.8,28.3,0.0,3.3,4.4,0.0,79.25,0.666667
2014-03-08,0.0,30.9,0.0,7.5,2.3,0.0,73.0,0.333333
2014-03-09,0.0,32.5,0.0,11.4,5.4,0.0,63.5,0.333333
2014-03-10,0.0,34.5,0.0,8.6,5.5,0.0,64.25,0.666667
2014-03-11,0.1,32.3,0.0,6.5,5.1,0.0,81.5,1.0
2014-03-12,9.8,30.7,0.0,5.1,3.9,0.0,83.0,0.333333
2014-03-13,1.4,32.5,0.0,8.5,3.5,0.0,70.25,0.333333
2014-03-14,0.0,34.1,0.0,8.7,5.3,0.0,63.75,0.333333
2014-03-15,0.0,35.1,0.0,10.6,5.5,0.0,62.25,0.0
2014-03-16,0.0,34.3,0.0,10.8,5.3,0.0,60.75,0.333333
2014-03-17,0.0,34.2,0.0,9.5,6.4,0.0,61.25,0.0
2014-03-18,0.0,34.5,0.0,10.0,5.5,0.0,73.5,1.0
2014-03-19,16.8,33.1,0.0,9.7,3.9,0.0,66.25,0.0
2014-03-20,0.0,34.1,0.0,7.4,4.7,0.0,62.25,1.0
2014-03-21,0.0,31.7,0.0,4.6,5.2,0.0,83.0,1.666667
2014-03-22,26.0,28.9,0.0,5.5,2.2,0.0,81.25,0.333333
2014-03-23,0.0,30.9,0.0,9.0,2.8,0.0,68.25,1.0
2014-03-24,0.0,29.7,0.0,10.4,4.6,0.0,65.5,1.666667
2014-03-25,0.0,30.8,0.0,11.0,5.5,0.0,63.25,1.666667
2014-03-26,0.0,31.5,0.0,10.8,6.0,0.0,61.5,1.0
2014-03-27,0.0,32.2,0.0,8.5,6.6,0.0,63.25,1.666667
2014-03-28,0.0,32.1,0.0,9.9,4.4,0.0,66.75,1.0
2014-03-29,0.0,32.6,0.0,7.7,6.4,0.0,69.5,0.666667
2014-03-30,0.0,24.7,0.0,0.3,4.5,0.0,84.25,0.333333
2014-03-31,7.0,31.4,0.0,5.4,1.2,0.0,77.75,0.666667
2014-04-01,0.0,32.3,0.0,7.0,2.7,0.0,74.5,0.333333
2014-04-02,0.0,32.9,0.0,9.9,3.6,0.0,67.5,0.666667
2014-04-03,0.0,33.1,0.0,10.7,4.8,0.0,65.75,0.666667
2014-04-04,0.0,32.5,0.0,10.0,5.2,0.0,65.75,0.666667
2014-04-05,0.0,32.5,0.0,10.0,6.5,0.0,66.5,1.333333
2014-04-06,0.0,33.4,0.0,10.7,5.6,0.0,54.75,0.0
2014-04-07,0.0,33.7,0.0,10.5,6.4,0.0,57.75,0.333333
2014-04-08,0.0,35.0,0.0,10.7,6.5,0.0,57.25,0.333333
2014-04-09,0.0,35.6,0.0,8.3,6.5,0.0,63.25,0.0
2014-04-10,0.0,32.7,0.0,2.1,4.8,0.0,83.5,0.0
2014-04-11,1.6,32.7,0.0,7.0,2.7,0.0,72.5,0.333333
2014-04-12,0.0,32.1,0.0,5.6,4.9,0.0,71.5,1.666667
2014-04-13,27.0,30.1,0.0,4.3,3.9,0.0,80.0,0.333333
2014-04-14,0.0,30.5,0.0,8.8,2.5,0.0,71.25,1.0
2014-04-15,0.0,24.5,0.0,0.7,4.0,0.0,84.5,0.666667
2014-04-16,0.0,29.3,0.0,6.8,1.9,0.0,79.0,0.666667
2014-04-17,1.1,31.7,0.0,9.2,2.6,0.0,71.75,0.666667
2014-04-18,0.4,32.3,0.0,10.3,3.9,0.0,61.5,0.666667
2014-04-19,0.0,33.3,0.0,6.5,5.2,0.0,63.5,0.333333
2014-04-20,0.0,32.3,0.0,6.9,5.4,0.0,66.75,0.333333
2014-04-21,0.0,32.5,0.0,9.0,4.5,0.0,61.5,0.333333
2014-04-22,0.0,26.9,0.0,3.7,6.0,0.0,80.0,0.666667
2014-04-23,16.6,26.9,0.0,0.2,1.0,0.0,91.5,0.333333
2014-04-24,10.6,27.1,0.0,4.9,1.2,0.0,83.75,0.333333
2014-04-25,0.0,28.1,0.0,9.7,2.8,0.0,72.25,1.0
2014-04-26,0.0,27.7,0.0,10.5,4.2,0.0,62.25,0.333333
2014-04-27,0.0,27.7,0.0,10.5,5.0,0.0,60.75,1.333333
2014-04-28,0.0,27.1,0.0,11.0,5.6,0.0,58.25,1.333333
2014-04-29,0.0,27.0,0.0,10.8,7.1,0.0,51.5,1.333333
2014-04-30,0.0,27.4,0.0,10.3,7.1,0.0,48.5,1.0
2014-05-01,0.0,28.3,0.0,7.2,7.2,0.0,61.0,1.0
2014-05-02,0.0,29.6,0.0,9.7,6.3,0.0,60.0,0.0
2014-05-03,0.0,28.9,0.0,4.7,5.5,0.0,68.75,1.0
2014-05-04,0.0,29.5,0.0,10.5,6.7,0.0,62.0,0.333333
2014-05-05,0.0,30.7,0.0,8.6,5.5,0.0,65.25,0.333333
2014-05-06,0.0,31.0,0.0,6.7,4.7,0.0,61.5,0.0
2014-05-07,0.0,30.9,0.0,0.6,5.2,0.0,64.25,0.0
2014-05-08,0.0,31.5,0.0,9.8,3.8,0.0,60.0,0.333333
2014-05-09,0.0,30.5,0.0,7.8,5.2,0.0,63.0,0.333333
2014-05-10,0.0,26.7,0.0,10.1,5.0,0.0,59.75,1.0
2014-05-11,0.0,27.7,0.0,10.3,5.4,0.0,54.5,2.666667
2014-05-12,0.0,27.9,0.0,10.1,9.0,0.0,59.25,0.666667
2014-05-13,0.0,28.2,0.0,9.3,4.5,0.0,61.5,0.0
2014-05-14,0.0,28.8,0.0,7.0,5.0,0.0,59.0,0.0
2014-05-15,0.0,29.7,0.0,8.8,6.2,0.0,56.25,0.333333
2014-05-16,0.0,31.2,0.0,9.0,4.3,0.0,57.5,0.333333
2014-05-17,0.0,29.1,0.0,6.4,6.9,0.0,57.75,0.333333
2014-05-18,0.0,26.9,0.0,1.7,6.6,0.0,74.0,0.0
2014-05-19,0.0,31.5,0.0,8.8,2.7,0.0,59.0,0.0
2014-05-20,0.0,30.4,0.0,9.8,5.3,0.0,58.5,0.0
2014-05-21,0.0,31.1,0.0,6.4,4.9,0.0,56.5,0.333333
2014-05-22,0.0,32.1,0.0,9.2,7.5,0.0,64.0,0.333333
2014-05-23,6.0,24.1,0.0,0.0,5.8,0.0,90.25,0.0
2014-05-24,0.1,24.4,0.0,0.0,1.2,0.0,85.75,0.0
2014-05-25,0.0,26.2,0.0,3.1,1.4,0.0,75.5,0.0
2014-05-26,1.7,23.3,0.0,0.0,2.2,0.0,83.0,0.333333
2014-05-27,0.0,22.9,0.0,9.9,1.9,0.0,70.75,0.333333
2014-05-28,0.0,25.1,0.0,7.8,2.9,0.0,71.25,1.0
2014-05-29,0.0,25.7,0.0,10.2,3.1,0.0,66.25,0.333333
2014-05-30,0.0,26.4,0.0,10.1,5.1,0.0,60.0,2.333333
2014-05-31,0.0,28.3,0.0,9.8,4.6,0.0,65.0,0.0
2014-06-01,0.0,22.6,0.0,0.8,4.4,0.0,86.25,0.333333
2014-06-02,2.2,25.1,0.0,5.2,1.0,0.0,82.0,0.333333
2014-06-03,0.0,25.3,0.0,9.9,2.5,0.0,68.75,0.0
2014-06-04,0.0,29.1,0.0,10.3,3.5,0.0,57.0,0.333333
2014-06-05,0.0,31.0,0.0,8.4,5.3,0.0,64.25,0.333333
2014-06-06,0.0,31.3,0.0,2.2,5.7,0.0,64.25,0.0
2014-06-07,0.0,32.4,0.0,8.3,5.8,0.0,61.0,0.333333
2014-06-08,0.0,31.9,0.0,7.3,7.6,0.0,57.25,1.0
2014-06-09,0.0,31.4,0.0,8.1,6.6,0.0,55.25,0.0
2014-06-10,0.0,28.3,0.0,6.5,5.8,0.0,67.0,2.0
2014-06-11,0.0,28.3,0.0,8.9,6.6,0.0,58.0,2.333333
2014-06-12,0.0,28.7,0.0,9.9,9.6,0.0,59.0,1.666667
2014-06-13,0.0,30.1,0.0,9.8,8.3,0.0,63.25,0.666667
2014-06-14,0.0,30.5,0.0,8.7,4.5,0.0,54.25,1.0
2014-06-15,0.0,29.5,0.0,10.0,5.9,0.0,55.75,0.666667
2014-06-16,0.0,30.2,0.0,9.2,6.0,0.0,61.0,0.333333
2014-06-17,0.0,30.9,0.0,9.7,4.6,0.0,58.0,0.333333
2014-06-18,0.0,30.5,0.0,5.8,5.8,0.0,57.5,0.333333
2014-06-19,0.0,27.3,0.0,9.2,4.3,0.0,66.5,0.333333
2014-06-20,0.0,27.5,0.0,8.0,4.2,0.0,68.0,0.666667
2014-06-21,0.0,27.7,0.0,8.7,3.5,0.0,64.75,0.666667
2014-06-22,0.0,28.5,0.0,8.3,4.6,0.0,58.25,1.333333
2014-06-23,0.0,26.5,0.0,1.2,5.4,0.0,64.5,0.0
2014-06-24,0.0,29.3,0.0,9.3,4.3,0.0,60.5,0.0
2014-06-25,0.0,29.7,0.0,9.5,4.1,0.0,61.5,0.333333
2014-06-26,0.0,30.7,0.0,7.5,5.5,0.0,61.5,0.333333
2014-06-27,0.0,31.3,0.0,9.5,5.7,0.0,61.5,0.0
2014-06-28,0.0,30.6,0.0,6.9,5.7,0.0,56.25,0.0
2014-06-29,0.0,24.1,0.0,0.7,4.8,0.0,76.75,0.333333
2014-06-30,0.0,24.5,0.0,6.7,2.5,0.0,61.25,0.333333
2014-07-01,0.0,28.1,0.0,10.0,3.5,0.0,60.0,0.333333
2014-07-02,0.0,31.5,0.0,8.8,5.1,0.0,56.5,0.666667
2014-07-03,0.0,32.2,0.0,9.0,5.6,0.0,50.0,0.333333
2014-07-04,0.0,31.7,0.0,8.4,6.1,0.0,49.25,0.333333
2014-07-05,0.0,30.3,0.0,8.6,6.2,0.0,63.75,0.0
2014-07-06,0.0,29.5,0.0,9.2,6.5,0.0,49.0,0.333333
2014-07-07,0.0,28.3,0.0,2.0,7.3,0.0,53.75,0.0
2014-07-08,0.0,26.9,0.0,1.8,5.9,0.0,68.25,0.666667
2014-07-09,0.0,28.0,0.0,3.4,4.6,0.0,73.25,1.333333
2014-07-10,13.4,24.5,0.0,4.4,2.6,0.0,77.5,0.666667
2014-07-11,0.3,25.7,0.0,7.3,2.9,0.0,70.5,1.0
2014-07-12,0.0,26.7,0.0,10.4,3.6,0.0,60.0,0.666667
2014-07-13,0.0,26.8,0.0,10.1,7.2,0.0,55.25,0.666667
2014-07-14,0.0,26.9,0.0,10.4,8.5,0.0,52.0,1.333333
2014-07-15,0.0,26.9,0.0,10.4,8.4,0.0,48.75,0.333333
2014-07-16,0.0,28.9,0.0,9.5,7.1,0.0,54.75,0.333333
2014-07-17,0.0,30.2,0.0,10.2,6.3,0.0,56.0,0.0
2014-07-18,0.0,25.9,0.0,2.7,7.2,0.0,62.5,1.0
2014-07-19,0.0,25.2,0.0,7.6,3.8,0.0,69.0,0.0
2014-07-20,0.0,27.0,0.0,10.3,3.7,0.0,52.5,0.333333
2014-07-21,0.0,29.1,0.0,10.3,5.8,0.0,50.0,1.0
2014-07-22,0.0,29.1,0.0,9.9,7.5,0.0,48.75,0.666667
2014-07-23,0.0,29.7,0.0,9.6,8.2,0.0,44.0,0.0
2014-07-24,0.0,26.9,0.0,0.3,9.5,0.0,81.75,0.0
2014-07-25,26.6,18.0,0.0,0.0,2.5,0.0,90.75,0.0
2014-07-26,0.0,18.1,0.0,0.0,1.0,0.0,93.25,0.0
2014-07-27,0.3,20.1,0.0,0.0,0.6,0.0,85.75,0.333333
2014-07-28,0.0,24.5,0.0,5.5,1.8,0.0,73.75,0.666667
2014-07-29,0.0,25.9,0.0,10.2,5.6,0.0,58.75,2.0
2014-07-30,0.0,27.7,0.0,10.6,8.0,0.0,58.25,1.333333
2014-07-31,0.0,28.8,0.0,10.6,4.0,0.0,59.0,0.0
2014-08-01,0.0,29.7,0.0,10.3,4.8,0.0,56.5,0.0
2014-08-02,0.0,31.2,0.0,10.5,5.2,0.0,49.25,0.0
2014-08-03,0.0,32.3,0.0,8.8,6.0,0.0,53.25,0.333333
2014-08-04,0.0,32.7,0.0,9.8,6.3,0.0,50.25,0.333333
2014-08-05,0.0,27.3,0.0,9.7,6.6,0.0,45.5,2.333333
2014-08-06,0.0,29.1,0.0,10.0,8.1,0.0,42.25,2.666667
2014-08-07,0.0,30.3,0.0,10.2,9.9,0.0,42.0,0.0
2014-08-08,0.0,29.4,0.0,9.4,7.0,0.0,46.25,1.666667
2014-08-09,0.0,28.3,0.0,9.4,7.4,0.0,48.75,1.333333
2014-08-10,0.0,29.0,0.0,7.6,7.2,0.0,48.0,0.333333
2014-08-11,0.0,30.9,0.0,9.8,7.4,0.0,45.5,0.0
2014-08-12,0.0,33.4,0.0,9.0,6.0,0.0,44.0,0.0
2014-08-13,0.0,30.5,0.0,4.8,7.5,0.0,63.75,1.333333
2014-08-14,0.3,21.7,0.0,2.7,5.5,0.0,63.75,2.0
2014-08-15,0.0,29.3,0.0,7.2,5.6,0.0,52.25,2.0
2014-08-16,0.0,30.6,0.0,8.3,8.3,0.0,48.5,0.333333
2014-08-17,0.0,28.5,0.0,5.5,7.3,0.0,56.25,0.333333
2014-08-18,0.0,30.9,0.0,9.7,6.4,0.0,50.25,0.0
2014-08-19,0.0,29.7,0.0,9.3,6.3,0.0,46.25,0.666667
2014-08-20,0.0,31.2,0.0,9.8,8.0,0.0,38.25,0.666667
2014-08-21,0.0,31.5,0.0,9.8,8.6,0.0,46.75,0.333333
2014-08-22,0.0,33.5,0.0,9.9,7.0,0.0,40.75,0.0
2014-08-23,0.0,32.9,0.0,10.1,8.0,0.0,35.5,0.0
2014-08-24,0.0,33.3,0.0,10.0,9.5,0.0,35.25,0.666667
2014-08-25,0.0,34.3,0.0,9.7,10.0,0.0,36.75,0.666667
2014-08-26,0.0,33.1,0.0,8.9,11.0,0.0,42.5,0.333333
2014-08-27,0.0,29.9,0.0,4.8,8.0,0.0,50.75,0.666667
2014-08-28,0.0,31.1,0.0,6.0,6.4,0.0,44.0,0.333333
2014-08-29,0.0,31.5,13.4,8.7,7.8,22.04,48.75,1.0
2014-08-30,0.0,33.5,13.6,9.3,7.6,23.6,44.0,0.0
2014-08-31,0.0,35.5,13.7,8.4,7.0,22.8,51.75,1.333333
2014-09-01,0.0,28.2,18.6,4.2,6.2,22.2,67.25,0.0
2014-09-02,0.3,35.2,15.0,9.0,3.3,25.18,50.25,0.333333
2014-09-03,19.8,31.3,16.9,6.6,7.0,23.46,63.0,0.0
2014-09-04,0.0,28.2,15.9,10.1,6.0,20.84,55.25,2.333333
2014-09-05,0.0,28.6,16.6,10.3,7.5,22.1,37.75,2.666667
2014-09-06,0.0,30.1,15.3,10.2,13.5,22.44,40.0,1.0
2014-09-07,0.0,30.7,14.4,9.6,9.1,22.08,45.75,0.333333
2014-09-08,0.0,31.5,20.3,8.9,9.2,25.1,39.25,1.0
2014-09-09,0.0,32.3,16.8,10.3,10.7,24.36,34.25,1.666667
2014-09-10,0.0,34.5,15.3,10.3,10.5,24.1,42.0,0.333333
