date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.2,34.0,20.5,0.0,4.0,26.06,71.5,0.5
2014-01-02,7.2,34.8,20.5,0.0,6.5,27.54,60.5,0.333333
2014-01-03,0.0,34.7,20.9,0.0,8.4,27.8,48.75,0.666667
2014-01-04,0.0,35.0,20.7,0.0,9.1,27.66,44.5,0.5
2014-01-05,0.0,33.4,20.2,0.0,9.4,26.52,47.75,0.666667
2014-01-06,0.0,32.8,18.1,0.0,8.6,26.06,48.0,0.666667
2014-01-07,0.0,31.6,17.3,0.0,8.0,24.7,49.0,0.333333
2014-01-08,0.0,33.0,18.1,0.0,7.7,25.9,49.0,0.5
2014-01-09,0.0,33.8,17.8,0.0,7.3,25.24,56.5,0.5
2014-01-10,3.0,32.6,18.1,0.0,5.8,25.34,64.75,0.333333
2014-01-11,0.0,32.0,18.5,0.0,4.5,25.62,64.75,0.5
2014-01-12,0.0,34.0,19.1,0.0,5.4,26.94,49.0,0.5
2014-01-13,0.0,34.0,19.9,0.0,8.1,26.98,50.75,0.166667
2014-01-14,0.0,34.4,18.7,0.0,7.7,26.5,49.5,0.666667
2014-01-15,0.0,34.8,18.5,0.0,7.8,27.1,47.0,0.5
2014-01-16,0.0,34.0,18.9,0.0,9.0,25.78,60.0,0.5
2014-01-17,0.0,31.4,19.7,0.0,7.4,24.14,71.5,0.833333
2014-01-18,0.7,28.8,19.0,0.0,8.1,23.7,74.5,0.666667
2014-01-19,0.0,28.8,19.1,0.0,9.9,24.06,74.0,0.5
2014-01-20,0.9,30.0,19.0,0.0,4.2,23.16,77.75,0.666667
2014-01-21,0.4,30.0,18.5,0.0,3.4,23.3,79.0,0.666667
2014-01-22,17.8,32.0,18.5,0.0,4.4,23.34,74.25,0.333333
2014-01-23,7.2,31.4,18.3,0.0,4.1,24.66,72.5,0.5
2014-01-24,0.0,33.8,18.9,0.0,8.1,24.5,68.25,0.5
2014-01-25,2.0,31.6,19.5,0.0,10.1,25.58,58.75,0.5
2014-01-26,0.0,32.0,19.3,0.0,13.3,26.18,49.25,0.166667
2014-01-27,0.0,30.6,19.3,0.0,7.5,23.62,79.0,0.5
2014-01-28,5.0,32.8,17.1,0.0,3.7,25.06,43.5,0.5
2014-01-29,0.0,32.6,16.3,0.0,8.8,25.14,51.5,0.5
2014-01-30,0.0,33.0,18.7,0.0,8.1,25.9,47.5,0.833333
2014-01-31,0.0,33.2,18.5,0.0,8.3,25.94,40.5,0.5
2014-02-01,0.0,33.0,18.1,0.0,9.4,25.82,47.75,0.5
2014-02-02,0.0,33.8,18.3,0.0,9.3,26.58,43.75,0.666667
2014-02-03,0.0,34.0,20.1,0.0,10.5,27.14,43.0,0.666667
2014-02-04,0.0,35.4,20.5,0.0,1.1,27.74,42.25,0.333333
2014-02-05,0.0,33.8,19.7,0.0,10.2,27.24,49.0,0.666667
2014-02-06,0.0,32.6,19.9,0.0,9.8,26.42,46.5,0.833333
2014-02-07,0.0,33.0,18.5,0.0,9.5,26.3,42.75,0.5
2014-02-08,0.0,34.4,17.1,0.0,18.8,26.5,43.75,0.333333
2014-02-09,0.0,34.0,17.5,0.0,10.7,26.18,47.75,0.333333
