date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,9.4,30.3,19.2,7.6,2.9,23.82,75.0,1.633333
2014-01-02,0.0,32.1,19.6,9.6,3.7,24.66,69.5,1.066667
2014-01-03,0.0,33.1,20.8,10.6,6.0,26.7,49.25,1.633333
2014-01-04,0.0,32.9,19.4,11.7,7.4,26.02,48.5,1.333333
2014-01-05,0.0,30.9,21.2,11.1,10.5,25.1,49.5,1.9
2014-01-06,0.0,30.9,20.0,9.2,11.9,24.7,49.5,1.6
2014-01-07,0.0,29.9,18.6,10.5,8.5,23.78,55.75,1.6
2014-01-08,0.0,29.7,18.4,10.8,8.2,23.42,53.75,1.333333
2014-01-09,0.0,30.5,19.6,10.5,8.5,24.58,50.25,1.6
2014-01-10,0.0,30.5,19.2,8.3,8.5,22.98,69.5,2.166667
2014-01-11,4.2,31.1,18.6,11.2,4.8,24.54,58.5,1.6
2014-01-12,0.0,31.5,20.4,10.9,7.2,25.54,49.75,2.2
2014-01-13,0.0,31.5,19.4,9.8,9.0,23.94,65.0,2.4666669999999997
2014-01-14,1.0,31.7,20.0,10.0,6.1,24.34,61.0,1.633333
2014-01-15,0.0,32.1,19.6,9.1,6.4,24.74,57.0,1.6
2014-01-16,0.0,30.5,18.8,8.0,6.6,23.62,60.75,4.4
2014-01-17,0.0,29.7,18.6,4.2,5.4,22.38,74.5,2.4666669999999997
2014-01-18,0.6,26.9,19.0,2.3,3.6,21.3,86.75,1.6
2014-01-19,13.2,29.9,17.4,8.9,2.2,22.3,70.0,2.433333
2014-01-20,15.0,30.9,18.0,9.2,3.2,22.58,75.0,1.9
2014-01-21,1.4,27.3,17.6,6.7,4.4,21.18,81.0,3.733333
2014-01-22,0.0,29.9,18.2,5.5,2.8,22.86,72.0,1.633333
2014-01-23,1.4,28.7,19.2,5.1,3.8,21.78,82.25,1.333333
2014-01-24,14.4,28.9,18.0,5.9,2.7,22.42,84.75,2.166667
2014-01-25,18.2,29.1,18.4,6.7,2.6,22.66,74.25,1.9333330000000002
2014-01-26,1.2,30.5,19.0,11.2,3.1,24.5,56.75,1.9
2014-01-27,0.0,28.5,19.6,5.8,8.8,22.54,74.5,3.0
2014-01-28,0.9,29.1,18.8,11.4,4.8,23.14,49.0,4.0
2014-01-29,0.0,29.9,18.4,11.6,11.0,23.58,51.25,2.4666669999999997
2014-01-30,0.0,30.7,18.8,11.7,9.5,24.34,56.5,2.766667
2014-01-31,0.0,30.5,19.4,9.7,9.7,24.02,47.0,2.4666669999999997
2014-02-01,0.0,30.5,18.0,11.3,10.3,24.06,49.0,3.0
2014-02-02,0.0,30.1,18.6,10.5,10.5,23.54,43.0,3.933333
2014-02-03,0.0,30.7,19.2,10.4,12.2,24.7,49.75,2.2
2014-02-04,0.0,31.7,20.4,10.9,11.1,25.1,44.5,2.2
2014-02-05,0.0,32.7,21.0,11.5,12.4,25.9,46.75,3.3
2014-02-06,0.0,31.5,19.2,11.3,11.5,24.3,48.0,3.0
2014-02-07,0.0,31.1,19.2,11.5,11.5,24.74,50.25,4.133333
2014-02-08,0.0,32.5,19.4,11.4,10.7,24.98,38.75,3.2
2014-02-09,0.0,33.1,19.4,11.0,12.8,25.18,43.5,1.6
2014-02-10,0.0,32.5,20.6,9.4,10.7,25.38,46.75,1.6
2014-02-11,0.0,30.5,20.4,10.0,10.6,24.46,45.25,2.733333
2014-02-12,0.0,31.3,18.6,9.7,8.2,24.58,44.0,1.9
2014-02-13,0.0,32.5,18.8,8.6,9.7,24.74,54.25,1.333333
2014-02-14,0.0,28.5,19.6,4.0,8.4,22.78,72.0,1.9
2014-02-15,0.0,29.5,19.2,2.6,5.0,22.3,88.0,3.666667
2014-02-16,30.6,26.3,18.6,0.7,2.8,21.38,80.5,2.7
2014-02-17,5.2,30.5,19.0,6.6,3.4,22.5,75.5,2.166667
2014-02-18,10.6,26.9,18.6,4.4,3.7,21.82,87.0,2.166667
2014-02-19,1.0,28.1,17.8,10.7,3.4,22.26,65.5,4.466667
2014-02-20,0.0,29.7,18.0,9.7,6.6,23.54,62.75,4.033333
2014-02-21,0.0,29.7,19.0,8.6,6.6,23.66,60.75,1.9
2014-02-22,0.0,28.7,19.8,4.1,8.0,22.62,69.25,2.4666669999999997
2014-02-23,0.0,31.1,19.4,9.7,5.1,24.7,61.75,1.9
2014-02-24,0.2,31.7,20.6,8.0,7.3,23.82,61.0,1.333333
2014-02-25,0.0,30.1,18.8,5.2,5.5,22.3,71.5,2.166667
2014-02-26,5.0,31.1,18.6,10.6,5.2,25.14,53.25,2.733333
2014-02-27,0.0,32.1,18.6,10.6,8.6,25.14,54.5,1.9
2014-02-28,0.6,31.5,21.0,7.2,6.2,24.94,60.5,2.2
2014-03-01,23.6,23.4,17.4,0.0,5.5,19.12,91.5,1.333333
2014-03-02,18.2,30.5,16.4,10.1,0.8,23.06,67.25,1.9
2014-03-03,30.0,28.1,16.8,6.8,4.6,22.18,70.5,3.7
2014-03-04,0.6,29.1,18.8,7.3,5.6,23.5,65.0,3.4666669999999997
2014-03-05,0.0,28.1,20.2,2.9,6.8,22.86,80.0,1.333333
2014-03-06,2.0,24.8,19.4,0.6,2.9,22.0,86.25,1.333333
2014-03-07,1.2,22.0,18.0,0.1,1.8,19.0,95.25,1.9
2014-03-08,10.8,27.5,18.0,4.1,0.7,21.26,82.0,1.6
2014-03-09,0.2,30.7,18.2,9.9,2.1,22.22,78.75,2.166667
2014-03-10,62.0,29.7,17.0,9.9,4.0,22.62,74.5,2.1333330000000004
2014-03-11,7.2,30.1,18.4,10.1,4.6,23.82,61.75,3.0333330000000003
2014-03-12,0.0,29.9,19.8,9.0,6.8,23.78,59.75,2.2
2014-03-13,0.0,30.5,19.0,8.8,7.5,24.02,63.0,3.3
2014-03-14,0.0,30.1,19.4,7.7,7.3,23.3,70.75,1.9
2014-03-15,4.0,31.5,19.4,9.7,5.7,24.42,57.5,1.9
2014-03-16,0.0,30.5,19.0,10.8,7.6,23.62,51.75,2.9
2014-03-17,0.0,30.3,18.6,9.3,9.5,23.7,58.5,1.9
2014-03-18,0.0,29.7,17.6,4.2,5.7,21.46,80.25,2.4666669999999997
2014-03-19,39.0,30.5,16.8,8.2,2.2,22.5,70.25,2.166667
2014-03-20,0.0,31.1,19.6,8.7,5.3,23.3,74.75,2.166667
2014-03-21,6.2,29.7,20.0,6.5,4.7,23.5,78.75,1.633333
2014-03-22,0.0,30.1,20.0,6.3,3.6,23.38,72.75,2.1
2014-03-23,0.0,29.7,19.4,8.0,3.6,22.82,76.0,3.0
2014-03-24,0.0,25.5,19.2,2.3,4.8,21.58,78.75,2.2
2014-03-25,0.0,28.1,19.0,7.1,4.0,22.26,76.25,1.633333
2014-03-26,1.0,28.1,18.6,5.3,4.2,21.98,71.5,2.733333
2014-03-27,0.0,27.1,18.2,4.0,5.7,20.9,80.75,2.4666669999999997
2014-03-28,22.2,27.3,17.6,5.4,3.2,21.1,81.5,2.7
2014-03-29,0.0,28.1,18.6,5.3,3.2,22.58,69.75,3.0
2014-03-30,0.0,23.2,19.6,1.6,6.0,21.0,87.0,2.1
2014-03-31,5.4,29.3,18.8,5.6,1.4,22.38,78.75,1.333333
2014-04-01,10.6,30.5,19.4,5.7,2.5,23.3,78.75,1.333333
2014-04-02,0.0,30.7,18.2,8.8,2.9,22.22,76.25,1.9333330000000002
2014-04-03,0.0,29.9,19.0,7.5,3.7,22.7,78.75,3.066667
2014-04-04,18.2,27.7,19.2,9.6,3.0,22.66,73.5,1.6
2014-04-05,0.0,27.5,18.6,10.2,5.4,22.06,70.25,2.166667
2014-04-06,0.0,30.7,18.0,10.6,6.0,23.78,61.0,1.333333
2014-04-07,0.0,31.3,18.6,10.2,5.7,23.94,65.5,1.333333
2014-04-08,0.0,31.3,19.8,9.8,5.5,24.66,58.75,1.066667
2014-04-09,0.0,32.1,19.6,8.9,5.0,24.26,69.25,1.633333
2014-04-10,0.0,30.7,19.4,5.9,4.6,22.74,88.25,2.4
2014-04-11,10.8,28.3,19.0,6.2,2.4,22.18,87.0,1.333333
2014-04-12,6.0,27.3,19.2,5.2,2.4,22.3,80.25,1.633333
2014-04-13,0.0,30.1,20.2,6.1,3.0,23.62,78.25,1.066667
2014-04-14,0.0,28.7,19.2,4.0,2.9,22.14,88.25,2.333333
2014-04-15,29.2,27.3,18.6,4.7,2.4,21.34,83.25,3.1333330000000004
2014-04-16,64.9,25.5,17.4,3.3,3.2,20.42,84.0,1.9
2014-04-17,0.0,28.3,18.6,6.4,2.2,21.94,78.5,1.9
2014-04-18,0.2,28.7,18.6,9.0,3.0,22.46,73.0,2.2
2014-04-19,3.8,29.9,18.4,9.3,3.4,22.5,73.75,1.633333
2014-04-20,14.0,29.9,19.0,7.7,4.0,22.54,75.25,1.9333330000000002
2014-04-21,0.0,30.1,18.6,7.9,3.6,22.82,73.0,2.5
2014-04-22,0.1,28.3,17.8,6.0,4.6,21.02,80.5,3.8666669999999996
2014-04-23,24.1,25.3,17.6,1.9,2.8,20.02,86.25,1.066667
2014-04-24,7.8,19.8,17.4,0.0,1.6,18.2,94.0,0.8
2014-04-25,12.0,25.7,14.2,7.9,0.5,19.54,79.0,2.0333330000000003
2014-04-26,0.0,26.9,15.4,10.3,2.9,19.62,66.0,2.2
2014-04-27,0.0,26.3,14.2,10.0,4.6,19.38,65.25,2.8
2014-04-28,0.0,24.6,14.2,9.8,6.0,18.08,61.0,2.733333
2014-04-29,0.0,23.6,13.0,10.2,7.0,16.96,63.75,3.0
2014-04-30,0.0,23.8,11.8,9.0,6.5,17.12,57.0,3.0333330000000003
2014-05-01,0.0,25.3,13.0,8.6,7.8,18.66,60.75,1.333333
2014-05-02,0.0,27.5,14.8,9.7,4.9,20.38,51.75,1.9
2014-05-03,0.0,24.4,15.2,5.3,8.1,18.84,60.25,2.733333
2014-05-04,0.0,26.2,15.0,9.7,7.5,19.4,55.75,2.4666669999999997
2014-05-05,0.0,26.9,13.8,10.3,6.6,20.66,54.5,1.333333
2014-05-06,0.0,27.3,15.0,9.7,5.4,20.98,55.75,1.9
2014-05-07,0.0,27.9,16.6,7.5,6.8,22.1,57.25,1.9
2014-05-08,0.0,28.3,19.2,8.6,6.1,21.82,72.25,1.633333
2014-05-09,0.0,27.3,16.0,10.1,4.0,20.66,64.0,1.633333
2014-05-10,0.0,27.5,16.2,10.1,5.0,20.86,60.5,1.333333
2014-05-11,0.0,24.4,14.0,10.1,5.8,18.2,65.25,3.6
2014-05-12,0.0,24.4,13.4,9.3,6.6,17.68,68.0,3.333333
2014-05-13,0.0,24.4,13.4,9.0,5.3,18.0,58.0,2.733333
2014-05-14,0.0,26.3,13.0,8.7,5.8,19.1,53.75,2.166667
2014-05-15,0.0,27.1,13.8,9.9,7.7,19.98,51.0,2.3
2014-05-16,0.0,26.5,13.6,9.2,6.5,20.26,53.5,1.333333
2014-05-17,0.0,26.9,14.2,6.7,6.3,20.54,54.75,2.2
2014-05-18,0.0,25.3,17.0,1.0,8.6,19.14,78.0,3.3
2014-05-19,7.0,27.3,14.2,9.7,3.2,20.14,60.75,1.9
2014-05-20,0.0,26.7,15.8,6.6,5.1,20.22,62.0,2.733333
2014-05-21,0.0,26.3,16.2,9.9,5.5,20.5,54.5,2.4666669999999997
2014-05-22,0.0,28.3,16.2,9.5,7.2,21.7,61.25,1.9666669999999997
2014-05-23,0.0,26.7,17.4,5.3,5.4,20.86,80.0,1.333333
2014-05-24,0.6,28.1,17.4,8.1,2.4,21.42,76.75,1.633333
2014-05-25,0.0,29.1,17.2,7.9,2.8,21.78,74.0,2.733333
2014-05-26,10.5,25.2,18.2,4.1,3.8,19.84,87.25,2.733333
2014-05-27,0.0,23.6,12.6,8.4,1.5,17.76,56.75,1.9333330000000002
