date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.8,23.8,11.2,4.6,29.64,61.75,1.3
2014-01-02,0.0,35.7,24.0,10.2,5.9,29.06,64.5,0.7
2014-01-03,0.0,32.5,24.0,6.4,6.1,27.94,75.25,1.2
2014-01-04,0.0,33.1,23.8,9.1,3.4,28.22,72.25,0.533333
2014-01-05,2.6,34.8,23.5,10.2,3.6,28.74,68.75,0.866667
2014-01-06,0.0,34.4,24.0,10.2,4.8,28.76,66.75,0.8
2014-01-07,0.0,35.1,23.1,8.3,5.1,26.72,72.75,1.566667
2014-01-08,0.0,35.9,21.4,11.5,5.1,28.5,57.25,1.566667
2014-01-09,0.0,35.0,22.5,9.1,7.0,28.82,61.75,0.266667
2014-01-10,48.0,32.5,21.3,5.0,5.6,24.72,85.5,0.533333
2014-01-11,7.6,32.7,22.4,4.9,2.6,27.34,74.75,1.133333
2014-01-12,0.0,34.5,23.6,10.2,3.0,28.46,70.0,0.8
2014-01-13,1.4,30.5,21.6,2.3,4.6,24.4,85.25,1.366667
2014-01-14,6.0,32.5,21.2,7.2,1.8,26.54,81.75,0.0
2014-01-15,0.0,34.5,23.0,3.1,3.6,26.42,78.75,1.3
2014-01-16,0.0,34.6,22.0,7.8,2.6,28.04,72.5,0.0
2014-01-17,0.0,31.1,22.0,2.2,4.2,26.54,84.25,1.366667
2014-01-18,0.0,35.3,22.1,8.9,2.1,28.46,77.0,0.333333
2014-01-19,2.3,31.3,24.8,0.5,4.0,26.68,88.25,1.133333
2014-01-20,12.9,32.5,24.0,0.0,1.2,26.5,90.75,0.7
2014-01-21,5.0,32.6,23.0,7.5,1.0,27.2,81.75,1.266667
2014-01-22,0.0,33.5,23.0,6.6,2.5,27.54,78.5,0.266667
2014-01-23,0.0,30.8,24.6,2.7,3.3,27.36,81.25,1.033333
2014-01-24,0.3,29.5,22.8,0.3,1.9,25.06,91.0,0.933333
2014-01-25,19.0,27.8,20.8,0.3,1.0,23.76,93.25,1.033333
2014-01-26,17.8,30.7,21.0,6.3,0.6,26.06,78.75,0.966667
2014-01-27,10.4,30.6,21.4,0.0,2.7,24.5,92.5,0.8
2014-01-28,0.4,32.5,21.4,6.7,0.9,26.86,73.0,1.366667
2014-01-29,0.0,33.7,21.9,6.7,4.2,27.96,72.5,1.333333
2014-01-30,0.0,30.7,22.0,2.8,5.0,26.42,84.75,0.266667
2014-01-31,1.3,32.6,23.5,4.4,2.1,27.66,79.25,0.8
2014-02-01,0.6,33.8,23.8,6.0,3.5,27.78,78.0,0.666667
2014-02-02,0.0,35.3,23.0,11.5,5.3,29.1,65.75,0.43333299999999997
2014-02-03,0.0,33.9,24.0,6.3,3.7,28.42,75.0,0.866667
2014-02-04,21.4,32.1,23.3,0.8,3.4,26.5,86.75,1.233333
2014-02-05,0.6,30.1,23.2,3.2,1.2,26.38,86.75,0.266667
2014-02-06,0.0,33.4,23.8,8.3,2.1,27.8,78.25,0.866667
2014-02-07,0.0,34.1,23.0,10.1,3.4,28.34,66.5,0.7
2014-02-08,1.5,33.7,23.6,7.4,5.5,28.22,75.25,0.166667
2014-02-09,27.5,30.5,22.2,2.6,3.4,25.62,87.5,0.8
2014-02-10,1.0,33.9,23.0,9.2,2.6,28.14,74.5,1.5
2014-02-11,0.0,32.9,25.2,5.5,4.6,28.06,74.25,0.933333
2014-02-12,0.0,32.6,23.5,5.2,4.3,27.54,79.25,0.866667
2014-02-13,0.0,29.5,24.4,1.3,2.7,26.58,87.5,0.7
2014-02-14,34.0,30.2,22.8,0.8,1.3,25.0,93.75,1.6
2014-02-15,5.2,29.7,22.6,1.1,0.8,24.98,91.75,0.533333
2014-02-16,2.2,29.5,22.5,1.0,1.4,24.72,91.5,1.633333
2014-02-17,4.8,30.1,22.4,2.6,1.1,25.06,90.25,0.9
2014-02-18,7.0,33.5,22.8,7.6,1.6,26.7,82.5,0.266667
2014-02-19,33.5,29.5,21.8,0.0,2.6,24.7,91.25,0.0
2014-02-20,26.2,27.3,21.4,0.1,0.4,23.98,91.0,1.066667
2014-02-21,0.0,32.5,22.4,5.8,2.0,27.14,76.75,0.7
2014-02-22,0.0,32.4,21.2,3.8,3.5,26.56,77.0,1.066667
2014-02-23,0.0,32.1,21.8,1.3,4.7,27.14,80.0,0.733333
2014-02-24,3.9,34.2,23.4,8.5,2.3,27.84,79.75,0.7
2014-02-25,0.0,32.9,23.0,5.0,3.7,27.78,76.0,1.166667
2014-02-26,0.0,33.3,22.2,5.5,3.7,27.22,78.0,0.7
2014-02-27,0.0,29.7,22.4,0.9,3.8,26.02,85.0,0.43333299999999997
2014-02-28,0.0,31.0,23.4,1.3,1.9,26.8,81.75,0.7
2014-03-01,3.0,27.9,23.9,0.1,2.0,25.2,93.25,0.266667
2014-03-02,3.8,31.3,23.2,4.0,0.7,26.42,85.5,1.333333
2014-03-03,0.5,27.5,23.4,0.4,1.7,25.14,93.5,0.43333299999999997
2014-03-04,34.4,31.5,23.7,4.0,0.7,25.48,88.75,0.8
2014-03-05,14.4,31.1,22.0,4.8,1.8,26.34,83.75,0.266667
2014-03-06,0.0,32.0,23.2,6.2,1.2,26.12,85.75,0.333333
2014-03-07,0.0,33.0,21.6,8.4,2.0,26.56,81.0,0.466667
2014-03-08,0.0,33.3,23.4,9.7,2.8,27.34,78.5,1.033333
2014-03-09,0.0,32.7,22.9,6.1,2.8,26.92,79.0,1.2
2014-03-10,0.0,31.7,22.8,3.3,2.6,26.3,83.5,0.266667
2014-03-11,3.6,29.9,22.4,1.7,1.7,25.06,93.25,0.6
2014-03-12,49.7,31.7,23.0,4.3,0.9,26.78,82.75,1.266667
2014-03-13,0.0,33.6,24.1,9.0,2.4,27.98,81.75,0.866667
2014-03-14,0.0,33.3,22.8,10.6,3.8,27.2,78.5,1.566667
2014-03-15,0.0,32.3,23.0,5.0,3.7,26.42,85.25,0.966667
2014-03-16,5.0,30.9,22.6,1.7,1.8,25.86,92.25,0.166667
2014-03-17,13.4,32.7,22.0,9.2,1.2,26.98,80.75,0.8
2014-03-18,0.0,33.9,23.6,7.4,3.1,27.54,78.25,1.1
2014-03-19,1.3,33.0,23.2,4.6,3.2,26.68,86.0,0.533333
2014-03-20,14.2,33.7,23.0,9.7,1.7,27.06,81.25,0.866667
2014-03-21,0.7,33.9,22.4,5.6,3.0,26.42,85.75,1.1
2014-03-22,1.3,33.3,23.2,7.5,1.9,28.14,80.75,0.43333299999999997
2014-03-23,0.0,31.7,23.5,1.8,2.9,27.28,85.75,0.533333
2014-03-24,0.0,32.8,22.2,5.0,2.1,26.98,81.5,0.866667
2014-03-25,0.0,34.5,22.2,9.1,2.7,28.3,74.0,0.533333
2014-03-26,0.8,32.4,22.2,6.9,3.3,26.64,80.0,0.8
2014-03-27,0.0,33.7,23.2,6.1,2.6,26.86,80.5,0.6
2014-03-28,0.0,30.1,23.0,1.9,2.6,25.7,83.5,0.166667
2014-03-29,8.2,31.7,23.1,4.2,1.5,25.72,84.5,0.533333
2014-03-30,11.6,31.4,20.7,6.7,2.4,25.42,83.5,1.7333330000000002
2014-03-31,0.2,32.1,22.8,5.7,2.1,27.06,80.25,1.633333
2014-04-01,0.0,34.5,21.5,10.1,3.2,27.92,78.75,1.233333
2014-04-02,0.0,34.2,23.6,7.7,4.7,26.6,83.0,0.866667
2014-04-03,2.2,32.9,22.0,3.4,2.1,26.74,84.0,0.43333299999999997
2014-04-04,0.0,30.5,23.2,1.7,2.2,26.38,84.25,0.8
2014-04-05,2.3,33.8,23.5,8.2,1.6,27.56,81.0,1.333333
2014-04-06,0.0,33.5,23.0,6.1,2.8,28.06,79.0,0.966667
2014-04-07,0.0,34.1,23.6,8.5,2.9,28.14,81.0,1.066667
2014-04-08,8.1,33.4,23.1,8.9,3.0,27.84,82.75,0.9
2014-04-09,9.0,33.9,22.2,9.6,2.5,27.34,77.0,0.966667
2014-04-10,11.2,31.5,23.0,3.6,2.6,25.66,91.75,0.533333
2014-04-11,1.6,31.7,22.7,7.3,1.6,25.9,87.0,1.266667
2014-04-12,12.2,31.6,22.2,3.8,1.8,25.24,89.75,0.266667
2014-04-13,7.1,33.5,22.0,7.1,1.4,26.7,81.5,0.8
2014-04-14,0.0,33.2,22.8,9.4,2.9,27.58,79.5,1.566667
2014-04-15,1.1,33.3,23.4,7.4,2.7,26.34,85.25,0.166667
2014-04-16,5.5,33.8,22.2,8.4,2.5,27.6,78.75,0.333333
2014-04-17,0.0,32.2,22.9,6.1,3.3,26.66,82.0,0.8
2014-04-18,1.0,32.1,22.8,7.3,2.2,26.98,82.25,0.7
2014-04-19,0.0,33.5,24.0,5.5,2.6,27.14,89.75,0.366667
2014-04-20,4.2,32.8,23.5,6.8,1.6,27.72,83.0,1.066667
2014-04-21,0.8,33.1,22.2,8.4,2.0,27.5,79.5,0.43333299999999997
2014-04-22,2.8,33.5,23.0,9.1,2.8,27.94,79.75,1.066667
2014-04-23,0.0,33.7,24.2,6.5,3.1,27.94,82.0,0.933333
2014-04-24,3.0,34.7,22.8,9.4,2.5,28.46,76.75,0.43333299999999997
2014-04-25,0.0,34.2,24.0,7.9,3.2,28.16,78.0,0.533333
2014-04-26,0.0,32.9,24.0,4.9,3.1,27.74,80.5,1.566667
2014-04-27,11.0,30.0,22.8,1.6,2.3,25.88,85.5,0.366667
2014-04-28,0.0,30.5,22.5,2.0,1.8,26.2,84.5,0.7
2014-04-29,0.0,32.8,23.2,10.2,3.0,27.26,61.25,2.5
2014-04-30,0.0,31.0,22.4,6.2,6.5,26.6,66.75,1.466667
2014-05-01,0.0,32.0,23.4,7.2,5.8,27.6,66.75,1.6
2014-05-02,0.0,32.9,24.6,8.8,4.8,27.98,72.25,1.433333
2014-05-03,0.0,32.9,24.2,5.0,4.3,27.14,77.75,0.43333299999999997
2014-05-04,1.2,33.3,25.0,7.0,4.6,27.74,73.0,1.066667
2014-05-05,0.0,33.6,21.5,10.1,4.5,26.84,70.25,2.433333
2014-05-06,0.0,34.1,22.4,9.4,4.9,27.38,68.25,1.0
2014-05-07,0.0,34.0,24.2,8.9,5.0,28.4,67.5,1.066667
2014-05-08,0.0,34.7,24.1,9.1,4.7,28.64,66.25,1.233333
2014-05-09,0.0,34.5,23.2,10.3,4.9,28.14,65.25,0.8
2014-05-10,0.0,34.5,23.0,7.5,5.0,27.7,74.75,0.4
2014-05-11,0.0,32.0,24.2,1.0,4.8,26.72,90.75,1.333333
2014-05-12,4.0,31.9,22.2,7.0,2.1,27.22,61.25,2.4666669999999997
2014-05-13,0.0,33.9,22.2,10.1,6.1,27.98,68.0,0.8
2014-05-14,0.0,33.1,22.6,6.7,6.3,27.64,68.25,1.1
2014-05-15,0.0,34.5,23.2,6.9,4.9,28.38,68.5,1.633333
2014-05-16,50.2,32.1,22.8,5.3,4.4,26.54,87.75,0.166667
2014-05-17,3.3,33.6,23.3,8.9,1.8,27.38,74.5,1.0
2014-05-18,0.0,34.7,22.6,10.0,3.1,27.94,68.25,0.8
2014-05-19,0.0,33.9,24.2,10.5,4.7,28.54,66.75,1.066667
2014-05-20,0.0,34.5,23.4,10.5,4.4,28.46,63.5,2.166667
2014-05-21,0.0,33.5,22.6,9.7,5.1,27.54,68.75,1.1
2014-05-22,0.0,33.9,25.0,5.7,5.7,27.82,74.75,0.8
2014-05-23,0.3,34.5,23.0,9.3,3.7,27.98,70.0,0.7
2014-05-24,0.0,35.1,23.4,9.8,3.8,28.14,68.5,1.466667
2014-05-25,17.2,31.8,24.5,3.5,3.8,27.02,81.75,0.266667
2014-05-26,0.9,34.3,23.6,9.5,2.1,27.72,75.0,1.066667
2014-05-27,0.0,34.3,21.2,10.2,3.9,26.82,62.5,0.466667
2014-05-28,0.0,34.3,19.8,10.4,5.4,26.86,65.0,0.8
2014-05-29,0.0,33.7,19.9,4.0,4.9,26.28,84.25,1.3
2014-05-30,1.5,35.5,21.0,10.0,2.2,27.9,56.5,1.166667
2014-05-31,0.0,34.9,21.0,10.5,7.5,26.9,59.5,1.633333
2014-06-01,0.0,34.1,20.5,10.4,8.6,26.88,62.5,2.0333330000000003
2014-06-02,0.0,35.6,20.0,10.3,5.8,27.36,60.0,0.7
2014-06-03,0.0,34.6,21.0,10.3,6.1,27.56,66.5,1.233333
2014-06-04,0.0,36.2,22.8,9.5,4.6,28.66,63.5,1.266667
2014-06-05,0.0,36.7,22.6,10.4,5.8,28.34,58.0,1.9333330000000002
2014-06-06,0.0,35.5,20.3,10.3,9.0,27.64,56.0,2.3666669999999996
2014-06-07,0.0,35.5,20.8,10.4,7.6,27.54,58.0,1.366667
2014-06-08,0.0,34.9,21.4,9.0,8.0,28.06,59.25,1.633333
2014-06-09,0.0,36.4,22.2,10.3,6.5,27.96,57.75,1.433333
2014-06-10,0.0,35.0,24.0,10.5,8.7,29.0,52.75,2.833333
2014-06-11,0.0,34.3,24.0,10.4,11.5,27.64,53.25,3.3
2014-06-12,0.0,34.7,20.0,10.4,9.0,27.42,46.0,1.6
2014-06-13,0.0,35.1,20.8,9.4,8.9,27.98,53.75,2.733333
2014-06-14,0.0,35.1,21.2,9.5,7.5,27.3,58.75,2.0333330000000003
2014-06-15,0.0,36.0,22.2,9.8,8.5,28.56,58.0,1.8
2014-06-16,0.0,35.8,23.8,9.6,9.5,27.88,50.75,0.866667
2014-06-17,0.0,35.1,23.5,8.6,10.5,29.0,49.0,1.633333
2014-06-18,0.0,35.5,24.6,7.5,9.0,29.62,51.25,1.7
2014-06-19,0.0,36.6,23.7,9.4,8.6,29.46,56.75,2.0
2014-06-20,0.0,35.3,24.2,10.1,7.5,29.02,50.25,2.166667
2014-06-21,0.0,35.5,21.8,10.4,8.8,28.26,46.75,2.266667
2014-06-22,0.0,35.3,24.7,10.4,11.1,28.94,47.75,2.5333330000000003
2014-06-23,0.0,35.2,22.7,10.4,10.1,28.54,49.5,2.6333330000000004
2014-06-24,0.0,33.5,24.8,6.3,10.6,27.7,57.75,2.2
2014-06-25,0.0,35.8,23.5,9.0,8.9,28.78,48.0,3.0
2014-06-26,0.0,35.9,25.4,9.4,10.4,28.9,53.75,1.9333330000000002
2014-06-27,0.0,35.7,24.0,8.8,9.6,30.14,48.25,1.9
2014-06-28,0.0,36.2,26.6,8.6,10.8,30.5,46.5,3.1
2014-06-29,0.0,37.7,22.4,10.2,10.1,30.18,41.25,1.633333
2014-06-30,0.0,36.5,24.0,10.0,10.7,29.5,52.75,1.066667
2014-07-01,0.0,36.9,20.8,10.0,7.3,28.52,54.0,1.233333
2014-07-02,0.0,36.9,20.0,10.3,7.1,27.68,51.25,1.033333
2014-07-03,0.0,35.5,19.8,9.5,9.2,28.42,48.5,0.833333
2014-07-04,0.0,36.5,24.6,10.3,11.4,29.66,43.25,2.266667
2014-07-05,0.0,35.7,23.8,10.3,12.1,28.98,39.5,2.566667
2014-07-06,0.0,35.9,23.8,10.4,11.3,29.14,45.0,3.0
2014-07-07,0.0,34.8,23.8,10.4,12.6,28.44,40.0,3.1
2014-07-08,0.0,35.0,20.8,10.4,12.5,27.84,44.5,2.3
2014-07-09,0.0,34.6,23.0,9.5,11.1,28.88,46.25,2.4666669999999997
2014-07-10,0.0,36.6,23.6,10.5,11.0,29.68,39.5,1.633333
2014-07-11,0.0,36.8,23.4,10.5,12.8,28.92,42.25,2.1
2014-07-12,0.0,36.9,20.6,9.0,10.1,29.46,42.25,1.9
2014-07-13,0.0,35.5,24.6,5.4,12.1,29.78,40.75,2.766667
2014-07-14,0.0,36.5,22.8,9.9,13.0,29.82,40.0,2.733333
2014-07-15,0.0,33.8,24.5,10.2,13.8,28.36,49.5,3.2
2014-07-16,0.0,34.8,24.2,9.8,11.3,28.94,50.0,3.066667
2014-07-17,0.0,34.7,23.0,9.7,11.3,28.38,50.25,1.9
2014-07-18,0.0,35.5,24.0,10.2,11.4,29.38,47.5,2.166667
2014-07-19,0.0,36.3,24.4,10.0,10.9,30.1,45.5,1.7333330000000002
2014-07-20,0.0,37.2,22.7,10.5,10.1,30.06,33.25,2.333333
2014-07-21,0.0,36.7,22.7,10.5,13.5,29.5,40.25,2.4666669999999997
2014-07-22,0.0,35.3,23.2,10.5,12.9,29.62,37.0,2.2
2014-07-23,0.0,35.8,26.3,9.4,16.6,31.1,31.75,2.766667
2014-07-24,0.0,35.8,25.4,10.4,16.3,29.68,41.5,3.3
2014-07-25,0.0,35.3,22.2,10.0,12.3,28.66,45.5,1.9333330000000002
2014-07-26,0.0,32.4,22.6,4.1,10.4,28.08,51.75,1.9
2014-07-27,0.0,36.3,22.6,10.4,9.7,29.06,35.75,2.733333
2014-07-28,0.0,36.6,20.2,7.8,11.0,28.2,53.0,2.5333330000000003
2014-07-29,0.0,35.3,24.2,10.4,9.1,29.26,42.0,1.9
2014-07-30,0.0,34.3,22.4,10.2,12.4,28.26,47.75,1.066667
2014-07-31,0.0,35.3,22.2,10.3,11.2,28.76,39.75,1.333333
2014-08-01,0.0,35.9,21.1,9.9,12.1,28.88,39.5,2.9
2014-08-02,0.0,37.0,23.4,10.0,10.7,28.98,46.5,1.5
2014-08-03,0.0,37.5,24.4,9.9,11.9,29.86,47.25,0.833333
2014-08-04,0.0,37.5,26.2,9.9,13.7,31.3,44.5,1.366667
2014-08-05,0.0,37.6,23.5,10.5,11.6,30.18,44.5,1.2
2014-08-06,0.0,36.5,24.6,10.4,13.3,30.42,39.0,2.333333
2014-08-07,0.0,35.7,24.9,10.1,16.0,29.56,41.25,4.033333
2014-08-08,0.0,35.9,22.8,10.7,13.4,29.46,42.75,3.6
2014-08-09,0.0,36.3,23.2,10.8,14.1,29.5,43.75,2.333333
2014-08-10,0.0,35.9,23.0,10.7,14.4,29.18,39.0,3.0333330000000003
2014-08-11,0.0,36.4,24.0,10.8,14.5,29.16,40.25,2.7
2014-08-12,0.0,36.0,24.8,10.8,14.7,28.92,42.0,2.066667
2014-08-13,0.0,36.7,21.2,10.6,12.7,28.38,41.0,1.066667
2014-08-14,0.0,37.5,25.1,10.6,14.2,30.46,33.75,2.833333
2014-08-15,0.0,36.4,24.8,10.7,16.4,30.16,38.5,2.566667
2014-08-16,0.0,34.9,23.4,10.8,15.0,28.54,45.25,2.733333
2014-08-17,0.0,35.7,22.4,10.8,13.0,28.7,37.0,3.0
2014-08-18,0.0,35.5,23.4,10.0,12.5,28.72,39.5,2.4666669999999997
2014-08-19,0.0,36.8,24.4,10.9,13.6,29.48,35.75,2.6
2014-08-20,0.0,36.3,24.2,10.8,14.2,29.78,39.5,1.333333
2014-08-21,0.0,36.5,26.0,10.0,16.4,30.5,39.75,2.2
2014-08-22,0.0,36.5,24.0,10.7,15.0,30.14,38.0,2.333333
2014-08-23,0.0,37.1,25.6,10.9,14.1,30.66,37.25,1.333333
2014-08-24,0.0,36.8,26.0,10.8,16.1,30.76,37.5,2.433333
2014-08-25,0.0,37.4,25.0,10.7,15.0,30.8,36.75,2.9
2014-08-26,0.0,37.2,23.4,10.9,14.3,30.44,33.75,2.4666669999999997
2014-08-27,0.0,37.3,25.4,10.9,17.6,30.02,38.25,1.1
2014-08-28,0.0,37.9,24.4,9.8,11.7,30.68,44.25,0.9
2014-08-29,0.0,39.5,25.6,10.2,9.8,32.62,41.0,0.6
2014-08-30,0.0,37.7,27.4,10.9,13.5,31.58,39.0,1.7333330000000002
2014-08-31,0.0,37.6,22.8,10.9,12.2,30.32,35.75,2.766667
2014-09-01,0.0,37.3,24.0,10.9,15.2,29.96,38.25,1.566667
2014-09-02,0.0,38.5,20.6,10.8,11.3,29.82,40.75,0.966667
2014-09-03,0.0,39.3,22.9,10.9,10.6,30.36,42.0,1.2
2014-09-04,0.0,37.5,23.0,10.9,10.0,30.66,50.75,1.1
2014-09-05,2.4,34.0,23.6,4.2,8.0,27.36,87.0,0.1
2014-09-06,5.5,35.9,23.4,9.7,4.7,29.4,43.0,3.066667
2014-09-07,0.0,35.9,23.8,10.2,16.5,28.74,45.5,1.233333
2014-09-08,0.0,36.5,25.0,10.9,14.8,30.58,40.25,2.733333
2014-09-09,0.0,36.7,26.0,10.4,16.7,30.92,40.75,3.0
2014-09-10,0.0,37.7,27.8,10.6,15.7,31.9,35.0,2.733333
2014-09-11,0.0,38.3,26.5,10.7,18.5,32.0,34.0,3.0333330000000003
2014-09-12,0.0,36.9,25.2,10.8,17.1,30.76,41.75,2.9666669999999997
2014-09-13,0.0,38.5,26.4,10.8,15.4,31.86,37.25,1.4
2014-09-14,0.0,38.1,26.6,10.6,10.0,31.58,37.0,2.4666669999999997
2014-09-15,0.0,37.8,26.4,11.0,16.2,30.8,39.75,1.633333
2014-09-16,0.0,38.4,22.4,10.9,12.1,30.72,39.25,1.333333
2014-09-17,0.0,39.5,24.0,10.3,11.4,31.38,42.25,0.7
2014-09-18,0.0,37.6,26.2,10.2,13.8,31.52,36.75,2.7
2014-09-19,0.0,37.3,25.6,10.4,14.8,31.3,43.25,1.433333
2014-09-20,0.0,37.5,24.4,9.0,11.2,31.3,42.75,1.666667
2014-09-21,0.0,39.5,24.0,10.6,10.5,31.38,41.5,1.066667
2014-09-22,0.0,39.3,25.0,9.7,11.7,32.1,43.75,1.9333330000000002
2014-09-23,5.6,37.3,25.8,3.8,9.8,30.22,51.25,1.066667
2014-09-24,0.4,37.0,24.8,8.4,9.6,30.68,43.75,2.166667
2014-09-25,0.0,38.3,25.6,10.2,12.2,31.3,43.0,1.366667
2014-09-26,0.0,39.5,24.4,9.9,11.5,31.34,38.25,1.366667
2014-09-27,0.0,39.8,25.7,10.5,14.1,32.02,34.75,2.166667
2014-09-28,0.0,39.7,25.4,9.8,14.5,32.64,36.75,2.233333
2014-09-29,0.0,38.7,26.4,10.4,12.3,32.66,36.75,1.3
2014-09-30,0.0,38.3,26.1,11.0,12.4,31.66,47.25,1.166667
2014-10-01,0.0,37.3,26.2,8.0,9.0,31.18,50.25,1.066667
2014-10-02,0.3,36.5,25.0,6.8,7.1,29.1,63.5,1.8
2014-10-03,7.6,34.9,23.4,2.1,5.0,26.56,80.0,1.4
2014-10-04,33.0,33.5,23.6,5.9,3.8,28.3,56.25,2.4666669999999997
2014-10-05,0.0,36.5,24.0,10.2,11.9,29.7,44.0,2.6333330000000004
2014-10-06,0.0,35.1,24.2,10.8,15.1,29.3,42.5,2.3666669999999996
2014-10-07,0.0,36.9,25.6,10.8,14.6,31.06,37.75,2.733333
2014-10-08,0.0,37.5,26.5,10.8,17.9,31.36,40.0,3.933333
2014-10-09,0.0,38.0,24.8,11.0,17.1,31.6,39.5,3.2
2014-10-10,0.0,38.3,27.0,11.3,17.2,32.22,33.75,2.4666669999999997
2014-10-11,0.0,38.7,27.2,10.5,18.4,32.38,35.5,1.233333
2014-10-12,0.0,38.5,27.3,9.2,16.7,32.78,34.5,2.4666669999999997
2014-10-13,0.0,38.6,27.6,10.1,19.1,32.44,32.5,3.0333330000000003
2014-10-14,0.0,39.5,25.5,10.5,17.9,32.12,33.25,1.5
2014-10-15,0.0,39.4,25.0,9.7,17.7,32.4,32.25,2.6
2014-10-16,0.0,39.4,26.6,10.9,16.3,33.64,33.5,1.9
2014-10-17,0.0,39.3,29.6,8.0,19.6,33.42,41.5,1.366667
2014-10-18,0.0,39.3,28.2,10.5,15.3,33.3,39.0,2.266667
2014-10-19,0.0,39.9,27.8,10.7,13.6,33.62,38.75,1.066667
2014-10-20,0.0,39.1,27.2,11.0,13.3,33.4,42.0,1.7666669999999998
2014-10-21,16.6,33.7,23.0,3.9,10.1,28.94,69.75,0.8
2014-10-22,2.4,33.1,24.0,3.6,4.7,27.98,74.5,0.7
2014-10-23,1.0,34.7,24.4,4.6,3.7,28.78,61.75,0.533333
2014-10-24,0.0,37.7,24.0,8.8,8.7,30.32,53.0,2.0333330000000003
2014-10-25,0.0,38.1,26.0,10.7,10.4,32.34,39.0,1.9
2014-10-26,0.0,39.5,24.4,11.0,13.8,31.5,40.5,1.366667
2014-10-27,0.0,39.5,24.0,9.1,12.9,31.36,46.0,1.2
2014-10-28,0.0,38.9,25.8,8.4,9.0,32.58,40.0,1.533333
2014-10-29,0.4,34.5,24.4,0.7,10.6,28.14,66.5,1.233333
2014-10-30,1.7,37.2,24.1,5.2,4.4,30.26,50.25,2.233333
2014-10-31,0.0,38.1,25.0,6.8,10.2,30.86,46.25,1.366667
2014-11-01,0.0,38.7,23.4,10.8,10.8,32.02,34.0,1.9
2014-11-02,0.0,39.6,26.0,10.7,14.3,33.12,34.75,2.766667
2014-11-03,0.0,37.4,26.2,7.4,14.4,30.84,53.75,2.4666669999999997
2014-11-04,16.5,34.5,22.4,2.2,7.6,27.7,67.25,0.8
2014-11-05,0.0,36.9,22.4,11.0,4.3,30.02,53.25,2.266667
2014-11-06,0.0,38.5,25.4,10.7,9.2,31.58,47.25,1.366667
2014-11-07,0.0,38.9,26.0,11.0,13.6,32.7,44.25,1.366667
2014-11-08,0.0,37.8,26.0,8.3,11.2,30.1,63.5,0.833333
2014-11-09,5.1,36.9,25.2,4.4,6.4,30.5,59.0,0.533333
2014-11-10,1.0,36.3,23.8,10.0,6.8,29.6,61.5,1.5
2014-11-11,0.0,37.5,23.9,9.0,7.5,30.96,54.75,1.7
2014-11-12,6.8,32.7,24.2,2.6,7.4,28.82,69.5,1.066667
2014-11-13,20.9,32.9,22.8,4.7,4.6,27.3,81.75,0.0
2014-11-14,0.0,36.5,24.0,10.7,3.3,30.16,60.25,1.466667
2014-11-15,1.3,34.3,25.0,7.3,5.8,29.34,69.75,0.366667
2014-11-16,12.1,32.3,22.6,2.4,5.0,26.86,80.75,0.8
2014-11-17,64.8,28.5,21.0,0.0,3.3,23.62,96.75,0.366667
2014-11-18,23.9,33.3,21.8,5.5,0.3,26.34,79.0,0.633333
2014-11-19,37.8,32.9,23.6,5.5,2.7,26.8,79.75,0.7
2014-11-20,16.3,32.5,23.6,4.1,2.5,26.54,88.25,0.0
2014-11-21,6.8,34.9,22.6,10.0,1.9,28.34,72.0,0.533333
2014-11-22,0.0,35.3,24.2,11.0,5.9,29.34,68.25,0.8
2014-11-23,0.0,35.0,23.8,11.2,5.3,29.08,70.75,0.9
2014-11-24,0.0,35.4,23.6,9.4,4.9,28.92,67.25,0.633333
2014-11-25,0.0,35.5,22.3,11.5,6.2,28.76,69.75,0.8
2014-11-26,0.0,35.8,24.6,8.7,5.3,29.88,63.0,1.533333
2014-11-27,0.0,35.8,23.4,11.1,5.9,29.44,61.75,1.466667
2014-11-28,0.0,35.9,24.8,11.5,7.1,29.82,71.25,0.266667
2014-11-29,0.0,36.6,22.9,10.0,5.9,29.36,62.25,0.733333
2014-11-30,0.0,36.7,21.6,11.6,6.8,29.86,46.25,1.166667
2014-12-01,0.0,36.3,22.4,11.5,10.8,30.22,58.25,2.2
2014-12-02,0.0,36.8,23.2,11.5,10.3,30.36,42.0,3.3
2014-12-03,0.0,34.3,25.4,6.3,12.8,29.02,58.5,1.533333
2014-12-04,0.0,38.5,23.4,9.2,7.7,29.86,52.5,1.633333
2014-12-05,0.0,32.5,24.7,2.4,8.6,28.24,72.75,0.766667
2014-12-06,0.0,33.3,23.8,4.0,3.5,28.42,64.5,0.633333
2014-12-07,0.0,35.5,23.8,8.5,4.8,27.26,73.0,2.433333
2014-12-08,16.8,36.1,23.0,9.8,4.9,29.86,57.0,0.533333
2014-12-09,0.0,36.7,25.3,11.0,8.1,30.72,49.0,1.2
2014-12-10,0.0,35.3,25.7,9.1,9.1,29.66,63.25,1.1
2014-12-11,0.0,34.8,25.2,5.6,5.5,28.8,63.0,1.633333
2014-12-12,1.3,36.3,23.7,7.1,4.2,30.16,59.5,0.533333
2014-12-13,11.0,30.1,23.2,1.3,5.2,25.78,85.75,0.633333
