date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,2.7,30.9,17.9,6.2,2.8,23.2,86.5,1.8666669999999999
2014-01-02,22.8,33.7,19.1,9.1,2.7,25.2,67.75,0.833333
2014-01-03,0.0,33.5,19.3,11.2,5.3,25.56,54.5,1.0
2014-01-04,0.0,32.3,17.5,11.2,6.7,24.68,48.75,0.666667
2014-01-05,0.0,30.9,17.7,11.3,7.7,24.32,51.5,1.533333
2014-01-06,0.0,31.9,17.3,9.6,7.1,24.2,57.5,1.0
2014-01-07,0.0,29.9,18.3,9.4,6.1,23.32,61.75,1.366667
2014-01-08,0.0,30.5,16.3,9.8,6.0,23.24,61.5,1.7
2014-01-09,0.0,31.1,16.3,9.1,5.2,23.76,58.5,1.033333
2014-01-10,0.6,29.7,16.7,8.3,4.9,21.8,74.0,0.833333
2014-01-11,18.8,30.7,17.5,10.0,2.8,23.84,57.5,1.533333
2014-01-12,0.0,30.1,17.9,11.0,4.5,24.2,56.25,1.0
2014-01-13,0.0,31.7,18.9,10.4,6.3,25.08,66.5,1.533333
2014-01-14,0.0,32.1,17.5,10.6,4.7,24.64,61.75,1.7333330000000002
2014-01-15,0.0,32.3,18.5,10.9,6.2,25.2,56.5,1.366667
2014-01-16,5.0,31.3,19.3,7.8,5.3,23.16,77.5,0.833333
2014-01-17,17.1,26.1,18.5,1.0,3.4,20.16,81.75,1.0
2014-01-18,2.6,24.3,18.9,0.0,1.8,21.64,82.25,0.833333
2014-01-19,14.7,29.3,16.7,9.2,1.1,20.96,81.0,0.833333
2014-01-20,33.2,29.5,16.7,8.0,2.5,21.24,80.25,1.166667
2014-01-21,32.6,27.1,17.1,0.8,2.0,20.68,86.0,0.666667
2014-01-22,11.2,29.3,18.3,7.7,1.5,22.0,84.5,0.666667
2014-01-23,11.0,28.7,18.1,7.1,0.8,22.16,84.25,0.666667
2014-01-24,1.0,30.5,16.7,8.3,2.1,22.72,74.0,1.166667
2014-01-25,51.3,28.9,17.5,4.0,3.5,23.76,66.25,0.666667
2014-01-26,0.0,30.3,18.1,11.2,3.5,24.72,57.75,1.566667
2014-01-27,0.0,27.5,17.7,5.2,5.9,20.56,88.5,1.533333
2014-01-28,2.7,28.5,15.3,10.5,2.3,21.4,59.75,1.533333
2014-01-29,0.0,29.5,15.7,10.2,6.5,22.32,59.25,0.833333
2014-01-30,0.0,30.1,16.9,11.1,5.1,23.28,63.75,1.0
2014-01-31,0.0,30.1,17.5,9.0,6.6,23.04,54.75,1.7
2014-02-01,0.0,29.5,15.9,8.7,7.4,22.48,56.25,2.233333
2014-02-02,0.0,30.3,15.1,10.8,7.3,22.72,49.75,1.9
2014-02-03,0.0,31.1,16.9,10.7,8.1,23.84,53.75,0.833333
2014-02-04,0.0,31.3,19.1,11.1,8.3,24.44,48.5,1.2
2014-02-05,0.0,31.5,17.5,10.8,7.4,24.16,55.75,1.166667
2014-02-06,0.0,30.1,17.1,11.4,8.3,23.92,51.75,1.9333330000000002
2014-02-07,0.0,30.9,17.1,11.1,7.8,23.96,54.0,0.666667
2014-02-08,0.0,31.9,16.7,11.5,7.1,24.24,50.25,0.833333
2014-02-09,0.0,32.7,17.3,11.3,7.1,24.28,50.5,0.333333
2014-02-10,0.0,29.9,17.9,5.5,7.4,23.64,56.0,1.2
2014-02-11,0.0,31.9,16.3,9.0,7.3,23.8,58.0,0.833333
2014-02-12,0.0,31.9,16.3,9.0,7.3,23.8,58.0,0.833333
2014-02-13,0.0,31.3,17.9,6.6,4.9,24.32,61.25,0.333333
2014-02-14,2.4,29.5,19.1,5.9,4.2,22.76,73.25,1.0
2014-02-15,0.0,30.1,18.7,4.2,2.9,22.12,79.5,2.1
2014-02-16,3.8,28.7,18.7,3.3,3.2,22.24,89.5,0.833333
2014-02-17,28.6,30.7,18.3,9.4,3.4,22.8,79.5,1.0
2014-02-18,23.6,28.5,18.5,3.7,3.5,22.4,83.0,2.066667
2014-02-19,8.1,27.9,19.1,6.6,2.2,21.72,84.75,1.533333
2014-02-20,2.1,29.3,18.3,5.7,2.5,21.92,81.25,2.0333330000000003
2014-02-21,0.0,29.3,18.7,8.5,3.4,23.36,65.25,1.7
2014-02-22,0.0,28.5,17.5,4.9,4.9,22.6,73.5,1.9
2014-02-23,0.0,30.7,18.3,10.1,3.8,23.52,69.0,0.666667
2014-02-24,0.0,31.7,18.9,9.1,4.9,23.4,75.0,0.666667
2014-02-25,0.0,29.5,18.1,7.3,3.4,22.76,77.0,0.666667
2014-02-26,4.2,30.7,17.5,11.2,3.1,23.8,61.5,0.666667
2014-02-27,0.0,32.1,16.5,10.0,6.1,23.76,64.0,1.533333
2014-02-28,0.0,31.9,18.7,7.6,4.9,24.24,68.0,1.333333
2014-03-01,0.0,27.1,18.5,1.8,4.5,21.24,80.25,2.066667
2014-03-02,1.0,30.5,17.1,9.3,1.9,21.88,79.5,1.9
2014-03-03,2.8,28.9,18.5,4.2,3.4,22.16,75.25,1.8666669999999999
2014-03-04,0.0,30.1,19.1,7.9,3.8,23.4,64.5,1.533333
2014-03-05,0.0,30.3,18.7,5.2,4.6,23.12,75.75,1.333333
2014-03-06,0.4,27.9,19.3,0.6,3.2,22.08,85.0,2.566667
2014-03-07,16.8,21.6,15.9,0.0,1.5,17.7,95.75,1.7
2014-03-08,14.7,28.1,17.7,3.3,0.3,21.44,82.25,1.7
2014-03-09,0.6,29.7,18.1,6.2,1.7,22.32,82.0,1.366667
2014-03-10,0.0,30.1,17.3,9.3,2.8,22.24,82.75,1.366667
2014-03-11,2.8,29.9,17.3,8.8,3.0,23.08,70.25,2.233333
2014-03-12,0.0,30.1,17.7,9.6,4.6,23.44,57.75,1.8666669999999999
2014-03-13,0.0,30.5,17.3,10.3,5.8,23.8,63.25,1.7
2014-03-14,0.0,29.9,17.3,9.6,4.9,23.24,67.5,1.533333
2014-03-15,0.0,31.1,17.5,10.4,4.3,23.88,62.75,2.233333
2014-03-16,0.0,30.5,17.3,10.2,5.2,23.32,59.0,2.0
2014-03-17,0.0,30.5,16.9,4.8,5.4,22.84,74.0,1.533333
2014-03-18,0.0,30.5,17.9,3.8,3.3,22.32,77.5,1.2
2014-03-19,1.2,30.5,15.5,7.6,2.7,22.64,72.75,0.833333
2014-03-20,0.0,30.9,18.7,7.7,4.3,24.36,59.25,1.166667
2014-03-21,8.3,30.5,19.7,3.3,3.9,24.16,81.0,0.666667
2014-03-22,2.6,31.1,18.3,5.5,2.5,23.4,79.75,1.333333
2014-03-23,6.6,29.9,18.1,4.0,2.6,22.56,87.25,1.8666669999999999
2014-03-24,9.8,24.5,18.7,0.0,2.4,20.48,92.75,1.333333
2014-03-25,6.6,25.9,18.3,1.5,1.1,21.28,83.25,1.333333
2014-03-26,0.0,27.3,19.1,3.0,2.3,22.4,78.0,2.066667
2014-03-27,0.0,26.7,19.1,0.6,3.2,22.04,81.0,1.533333
2014-03-28,0.0,28.3,18.1,3.2,2.0,21.44,83.75,2.233333
2014-03-29,2.0,29.3,17.9,6.3,2.2,23.2,70.25,1.2
2014-03-30,2.8,25.1,18.5,0.7,3.8,20.88,86.5,1.333333
2014-03-31,0.0,29.3,17.7,4.2,1.2,22.16,83.0,1.166667
2014-04-01,12.5,28.7,18.7,3.2,2.3,21.96,90.75,1.8666669999999999
2014-04-02,18.9,29.3,18.9,4.9,1.4,22.68,86.5,0.833333
2014-04-03,4.7,29.1,19.5,4.9,2.2,22.36,82.75,0.833333
2014-04-04,0.0,30.1,18.5,5.4,2.1,22.8,78.25,1.0
2014-04-05,0.0,28.5,18.7,9.6,2.8,21.92,76.5,2.4
2014-04-06,0.0,30.1,18.3,9.1,4.2,23.08,78.25,1.333333
2014-04-07,2.3,31.1,16.9,8.7,3.2,22.64,69.75,1.0
2014-04-08,0.0,31.7,17.7,9.5,3.9,23.4,65.5,0.833333
2014-04-09,0.0,31.3,18.5,7.3,4.3,23.92,70.75,1.166667
2014-04-10,0.0,29.7,17.9,4.3,3.0,22.68,88.25,0.833333
2014-04-11,11.9,29.5,18.7,4.5,2.2,22.36,85.5,1.533333
2014-04-12,0.4,28.1,19.3,5.4,2.0,22.44,82.0,2.066667
2014-04-13,0.0,31.1,19.7,6.5,2.7,23.44,75.75,1.7
2014-04-14,108.3,24.1,18.7,0.0,2.9,20.2,92.75,0.833333
2014-04-15,1.2,29.7,19.3,7.6,0.8,22.8,77.75,2.233333
2014-04-16,0.0,25.9,18.9,0.0,3.6,21.44,86.75,1.366667
2014-04-17,0.0,27.9,18.9,3.0,1.6,21.84,86.5,1.0
2014-04-18,1.1,29.5,18.5,6.2,1.7,22.12,84.25,0.833333
2014-04-19,4.2,30.5,17.7,8.9,2.3,23.0,80.0,0.833333
2014-04-20,0.0,31.1,17.3,6.1,4.0,22.76,75.75,1.0
2014-04-21,0.0,29.7,17.7,3.8,3.0,23.0,80.0,1.0
2014-04-22,1.5,29.9,16.7,6.0,2.5,22.2,79.0,1.333333
2014-04-23,2.2,25.7,18.5,0.8,2.6,20.72,93.75,1.333333
2014-04-24,7.0,25.5,18.3,0.4,1.0,20.28,95.5,1.533333
2014-04-25,11.2,24.5,15.7,6.4,0.9,19.92,80.5,1.366667
2014-04-26,0.0,27.7,14.3,9.4,2.0,21.2,76.75,1.166667
2014-04-27,0.0,27.7,13.3,9.7,3.3,20.28,73.25,1.366667
2014-04-28,0.0,26.3,14.5,9.5,4.2,19.16,64.5,1.7
2014-04-29,0.0,24.5,12.7,9.4,4.1,17.6,66.0,2.066667
2014-04-30,0.0,25.5,10.1,10.1,4.4,17.68,59.25,2.433333
2014-05-01,0.0,27.9,11.9,10.1,4.9,18.88,60.75,1.7
2014-05-02,0.0,27.1,12.3,8.3,3.7,17.84,74.0,1.166667
2014-05-03,0.0,27.3,12.1,8.1,4.5,19.16,53.75,2.066667
2014-05-04,0.0,28.1,13.1,8.8,6.1,20.0,59.0,1.166667
2014-05-05,0.0,29.1,11.7,9.6,4.0,19.76,67.5,1.0
2014-05-06,0.0,28.5,13.9,8.5,4.1,20.64,72.0,0.666667
2014-05-07,0.0,28.5,14.3,8.0,4.1,20.64,75.0,1.0
2014-05-08,0.0,29.3,17.3,8.3,3.3,21.68,78.75,0.833333
2014-05-09,0.0,29.1,14.9,8.3,3.1,21.32,69.0,0.833333
2014-05-10,0.0,29.5,13.9,9.6,3.9,20.96,60.5,1.0
2014-05-11,0.0,26.1,15.1,9.6,5.1,19.24,71.0,2.766667
2014-05-12,0.0,25.5,11.9,7.3,3.6,17.96,71.25,2.0333330000000003
2014-05-13,0.0,25.3,10.3,9.7,3.2,17.76,67.0,1.533333
2014-05-14,0.0,27.1,9.7,8.2,3.8,17.16,70.25,1.7
2014-05-15,0.0,28.7,11.9,10.2,4.9,19.16,61.0,1.166667
2014-05-16,0.0,28.9,12.3,9.5,4.2,19.28,65.5,1.166667
2014-05-17,0.0,29.3,13.7,9.4,4.4,20.6,62.25,1.333333
2014-05-18,0.0,25.5,15.3,1.1,5.5,20.52,76.75,1.0
2014-05-19,0.0,28.5,14.5,6.9,2.5,20.4,72.25,1.166667
2014-05-20,0.0,29.1,13.1,9.5,3.2,20.52,66.75,1.533333
2014-05-21,0.0,28.1,14.9,9.4,4.8,20.04,64.75,1.2
2014-05-22,0.0,29.5,14.9,9.4,5.6,21.0,59.0,1.366667
2014-05-23,0.0,29.9,14.7,8.4,4.2,21.72,71.25,1.333333
2014-05-24,0.0,30.1,17.5,7.5,3.9,22.8,71.75,1.533333
2014-05-25,0.0,30.1,16.7,6.2,3.7,23.16,70.0,1.533333
2014-05-26,0.0,28.3,16.5,4.4,3.9,21.32,84.5,1.333333
2014-05-27,2.5,28.7,16.5,8.7,2.6,20.52,65.75,2.0333330000000003
2014-05-28,0.0,26.5,8.7,9.2,5.0,16.96,73.0,1.533333
2014-05-29,0.0,27.7,9.7,8.7,4.1,17.44,62.75,1.533333
2014-05-30,0.0,26.1,13.7,5.3,4.9,18.44,78.25,2.233333
2014-05-31,0.0,26.1,13.9,7.0,3.8,18.68,75.5,2.066667
2014-06-01,0.0,27.1,13.1,8.7,3.7,18.88,70.0,1.9
2014-06-02,1.1,25.5,15.5,4.7,3.4,18.92,91.75,1.166667
2014-06-03,0.0,26.9,11.7,8.4,2.1,18.84,71.0,1.366667
2014-06-04,0.0,28.7,11.1,9.9,4.0,19.12,65.0,1.366667
2014-06-05,0.0,29.3,15.1,7.2,4.3,21.04,67.0,1.533333
2014-06-06,0.0,28.9,15.9,9.3,4.8,21.48,65.5,1.0
2014-06-07,0.0,29.5,16.1,8.5,5.3,20.88,58.0,0.666667
2014-06-08,0.0,27.5,14.3,9.3,6.6,20.72,56.25,2.066667
2014-06-09,0.0,28.3,13.3,9.8,5.9,20.52,53.75,1.333333
2014-06-10,0.0,25.5,14.1,8.5,7.7,19.44,61.25,2.233333
2014-06-11,0.0,25.7,15.1,9.4,5.8,19.32,63.25,3.433333
2014-06-12,0.0,25.7,15.3,7.3,5.4,19.88,64.75,3.266667
2014-06-13,0.0,27.5,15.3,8.7,4.3,20.08,64.25,2.933333
2014-06-14,0.0,25.5,13.7,7.1,4.5,18.76,70.5,3.266667
2014-06-15,0.0,26.9,13.1,8.2,3.9,19.72,63.75,1.7333330000000002
2014-06-16,0.0,27.5,13.7,9.6,4.6,19.96,55.75,1.366667
2014-06-17,0.0,27.5,14.3,5.7,5.7,19.32,63.75,1.0
2014-06-18,0.0,27.7,14.7,5.0,4.2,19.4,62.5,1.366667
2014-06-19,0.0,27.3,14.1,4.1,3.8,19.04,65.75,1.533333
2014-06-20,0.0,25.5,12.9,5.7,3.4,18.92,64.75,1.9
2014-06-21,0.0,27.3,13.3,8.5,3.6,19.6,60.5,1.333333
2014-06-22,0.0,26.3,12.1,9.8,4.8,18.84,50.5,3.27184
2014-06-23,0.0,24.9,14.1,5.8,4.6,18.52,77.25,2.233333
2014-06-24,0.0,26.3,11.5,9.0,2.9,18.68,60.25,1.533333
2014-06-25,0.0,27.7,12.9,9.5,4.0,19.68,55.25,1.166667
2014-06-26,0.0,27.5,12.5,9.3,5.1,19.44,57.0,1.2
2014-06-27,0.0,28.1,12.9,9.5,4.9,20.0,49.25,1.166667
2014-06-28,0.0,28.3,14.3,7.4,5.5,20.04,57.25,1.0
2014-06-29,0.0,28.3,12.1,9.1,5.0,19.44,59.0,1.166667
2014-06-30,0.0,27.7,12.1,8.9,5.4,19.12,58.5,1.166667
2014-07-01,0.0,29.3,12.3,8.9,4.7,19.8,55.25,1.7
2014-07-02,0.0,30.1,13.1,7.9,5.7,20.6,50.5,1.166667
2014-07-03,0.0,28.7,13.3,7.7,6.2,20.4,50.5,1.166667
2014-07-04,0.0,27.9,14.7,8.9,6.0,20.0,52.25,1.533333
2014-07-05,0.0,25.3,14.3,9.6,7.5,19.2,48.5,2.733333
2014-07-06,0.0,26.3,12.3,8.6,7.4,19.04,57.75,1.9
2014-07-07,0.0,26.7,15.1,5.8,5.7,20.56,53.5,2.0333330000000003
2014-07-08,0.0,26.8,13.3,6.7,6.3,19.42,54.0,1.533333
2014-07-09,0.0,24.7,13.7,5.2,4.7,18.96,65.0,1.533333
2014-07-10,0.0,25.1,12.5,3.4,3.5,17.6,87.5,1.166667
2014-07-11,3.6,26.5,11.3,8.4,2.0,18.48,63.75,2.2
2014-07-12,0.0,26.5,12.7,7.6,4.1,19.36,59.75,2.066667
2014-07-13,0.0,25.7,13.3,9.0,4.7,18.56,57.0,2.233333
2014-07-14,0.0,24.9,12.1,9.5,4.8,17.52,55.75,2.766667
2014-07-15,0.0,24.7,9.9,8.4,4.7,16.92,58.75,2.0333330000000003
2014-07-16,0.0,25.7,11.1,9.2,3.8,17.8,60.5,1.9
2014-07-17,0.0,26.9,12.5,9.5,5.0,18.72,58.5,1.5
2014-07-18,0.0,28.5,12.9,6.9,5.8,19.6,56.5,2.233333
2014-07-19,0.0,27.7,14.3,7.3,5.7,20.28,54.75,2.2
2014-07-20,0.0,27.9,12.1,8.8,4.7,19.28,53.25,1.166667
2014-07-21,0.0,27.7,13.1,7.5,5.1,20.2,49.75,2.4
2014-07-22,0.0,26.3,11.9,9.8,6.5,18.84,47.25,3.6
2014-07-23,0.0,26.3,12.5,9.3,8.1,19.28,52.0,2.566667
2014-07-24,0.0,24.7,14.7,4.1,7.1,19.6,65.5,3.066667
2014-07-25,11.0,20.5,14.9,0.0,4.1,17.28,88.0,1.533333
2014-07-26,3.5,17.1,14.1,0.0,0.8,15.6,93.0,1.0
2014-07-27,22.4,16.5,13.7,0.0,0.4,14.52,96.25,1.166667
2014-07-28,14.5,21.7,10.9,2.2,0.2,16.08,79.75,2.6
2014-07-29,0.0,21.9,14.1,4.0,2.6,16.36,79.5,3.233333
2014-07-30,0.0,24.9,12.9,9.4,2.8,18.32,63.75,2.433333
2014-07-31,0.0,26.3,11.5,9.3,4.2,18.32,58.5,1.533333
2014-08-01,0.0,26.3,13.7,8.8,4.8,19.16,57.0,1.366667
2014-08-02,0.0,27.7,12.7,7.0,4.9,18.96,60.75,0.833333
2014-08-03,0.0,29.3,13.7,9.4,5.1,20.0,50.5,1.7333330000000002
2014-08-04,0.0,30.5,13.5,8.9,6.7,22.24,43.5,1.166667
2014-08-05,0.0,29.3,16.7,6.6,7.2,21.28,48.5,2.2
2014-08-06,0.0,25.7,14.5,9.0,7.5,19.12,62.5,2.733333
2014-08-07,0.0,26.3,10.1,10.0,5.7,17.04,50.5,2.433333
2014-08-08,0.0,27.9,9.1,10.2,6.2,17.0,45.75,2.0333330000000003
2014-08-09,0.0,25.5,11.3,9.8,8.9,18.0,38.0,2.933333
2014-08-10,0.0,26.5,11.1,10.0,8.9,18.0,40.75,2.9
2014-08-11,0.0,28.3,10.5,9.8,7.9,19.24,46.5,1.533333
2014-08-12,0.0,29.5,13.1,9.9,7.3,21.0,41.25,2.066667
2014-08-13,0.0,30.5,12.9,9.9,7.5,21.56,44.0,1.366667
2014-08-14,0.0,28.3,14.3,9.2,7.4,21.8,46.5,2.6
2014-08-15,0.0,24.9,13.5,8.6,7.2,18.68,62.75,3.266667
2014-08-16,0.0,25.9,15.3,9.3,6.5,19.52,59.0,3.1
2014-08-17,0.0,26.9,13.7,8.9,6.4,19.88,61.5,2.6
2014-08-18,0.0,27.5,13.7,5.7,4.9,19.32,63.0,1.533333
2014-08-19,0.0,29.7,13.7,8.5,3.9,21.32,48.5,1.8666669999999999
2014-08-20,0.0,27.9,13.3,9.9,6.7,20.96,59.5,1.9
2014-08-21,0.0,27.9,13.7,10.1,7.6,20.92,40.25,3.433333
2014-08-22,0.0,30.3,12.5,10.3,8.5,21.0,38.5,1.8666669999999999
2014-08-23,0.0,30.1,13.3,10.0,8.4,21.8,33.25,1.7
2014-08-24,0.0,29.7,12.9,10.0,8.4,20.72,38.25,1.9
2014-08-25,0.0,30.7,13.7,9.7,9.3,21.6,37.5,1.533333
2014-08-26,0.0,32.5,16.3,9.9,9.7,24.04,32.25,2.4
2014-08-27,0.0,32.3,13.9,8.2,9.9,23.72,43.0,1.7
2014-08-28,0.0,32.5,16.3,7.9,7.8,23.84,46.75,2.066667
2014-08-29,0.0,32.7,17.5,7.8,8.1,24.04,48.75,1.533333
2014-08-30,0.0,31.9,15.9,9.0,7.1,23.4,47.75,1.166667
2014-08-31,0.0,32.9,16.7,9.5,7.8,24.36,44.0,1.533333
2014-09-01,0.0,32.3,18.9,6.7,9.0,23.12,61.75,1.366667
2014-09-02,9.4,32.5,15.3,7.9,5.6,23.32,57.0,1.166667
2014-09-03,3.8,24.2,17.5,0.5,6.3,20.26,75.25,1.166667
2014-09-04,0.0,30.9,16.1,9.2,2.9,23.08,45.0,2.4
2014-09-05,0.0,32.5,14.9,9.7,8.8,20.84,53.0,3.233333
2014-09-06,0.0,25.5,12.0,10.1,6.7,18.18,46.75,3.6
2014-09-07,0.0,27.7,10.7,10.1,7.0,19.44,44.0,2.766667
2014-09-08,0.0,27.9,13.5,9.8,8.7,20.24,39.25,2.233333
2014-09-09,0.0,27.9,12.1,9.2,9.1,20.24,39.5,2.766667
2014-09-10,0.0,30.5,15.9,10.2,8.8,22.52,43.75,2.233333
2014-09-11,0.0,31.5,14.9,9.4,7.7,23.44,30.5,2.066667
2014-09-12,0.0,30.5,14.9,10.0,8.1,21.92,34.0,1.533333
2014-09-13,0.0,31.3,15.1,10.1,7.3,23.12,37.0,1.9
2014-09-14,0.0,31.9,14.7,10.0,5.5,23.2,36.5,1.9
2014-09-15,0.0,32.1,15.9,10.0,5.3,23.56,37.5,1.8666669999999999
2014-09-16,0.0,32.5,17.3,9.3,4.8,25.2,35.75,1.166667
2014-09-17,0.0,34.5,19.1,7.6,4.8,26.76,37.5,1.166667
2014-09-18,0.0,33.5,17.9,9.2,5.0,25.2,40.5,1.166667
2014-09-19,0.0,32.5,18.9,8.6,12.6,24.48,34.0,4.3
2014-09-20,0.0,32.3,15.9,4.9,11.6,25.0,37.75,2.933333
2014-09-21,0.0,30.9,16.9,6.1,8.7,22.92,58.75,2.566667
2014-09-22,0.0,33.3,17.3,8.1,6.3,24.48,43.5,3.066667
2014-09-23,0.0,31.3,17.1,9.7,9.5,23.8,44.5,3.433333
2014-09-24,0.0,31.5,16.5,9.8,9.6,23.4,42.75,2.066667
2014-09-25,0.0,31.5,18.9,3.8,9.5,24.44,43.75,2.733333
2014-09-26,0.0,34.7,19.9,7.3,9.2,26.96,36.0,3.4
2014-09-27,0.0,33.1,21.0,3.1,11.0,27.14,34.0,1.7333330000000002
2014-09-28,0.0,33.3,18.9,5.5,10.1,27.08,35.0,1.9
2014-09-29,0.0,34.9,21.4,8.1,11.5,27.5,39.25,1.366667
2014-09-30,0.0,35.5,21.4,7.1,9.5,27.86,45.0,1.0
2014-10-01,0.0,35.5,21.0,6.4,9.4,26.38,53.75,1.533333
2014-10-02,10.2,33.5,18.7,9.8,6.2,25.16,42.75,1.7
2014-10-03,0.0,29.3,15.1,10.0,9.3,22.48,39.5,2.4
2014-10-04,0.0,27.7,12.9,10.3,9.2,19.88,41.5,2.566667
2014-10-05,0.0,26.7,12.5,10.0,9.1,19.0,39.0,3.266667
2014-10-06,0.0,26.5,12.3,10.0,8.1,19.16,34.25,2.933333
2014-10-07,0.0,28.9,12.7,9.7,8.6,20.8,34.0,2.733333
2014-10-08,0.0,31.3,13.1,9.6,8.8,23.0,30.75,1.333333
2014-10-09,0.0,32.7,16.9,9.8,9.6,24.16,32.0,1.533333
2014-10-10,0.0,33.5,17.1,9.0,9.5,24.76,30.75,1.7333330000000002
2014-10-11,0.0,33.7,17.3,9.8,10.6,25.52,26.25,1.7333330000000002
2014-10-12,0.0,34.1,20.1,7.7,12.4,27.32,27.5,2.0333330000000003
2014-10-13,0.0,34.7,18.7,10.0,11.6,26.52,29.25,2.233333
2014-10-14,0.0,37.1,20.5,9.9,12.7,27.68,27.25,3.1
2014-10-15,0.0,37.1,18.9,9.1,11.5,27.96,22.0,3.066667
2014-10-16,0.0,35.5,23.4,9.0,13.0,27.94,41.25,2.733333
2014-10-17,0.0,35.7,21.6,9.0,11.3,27.62,34.75,3.1
2014-10-18,0.0,36.3,21.4,8.8,11.7,27.7,39.25,2.4
2014-10-19,2.0,37.1,19.7,10.9,9.9,27.68,38.25,1.9
2014-10-20,0.0,35.9,21.4,7.8,9.7,25.5,57.5,1.7
2014-10-21,3.8,30.9,17.9,6.4,6.0,22.52,83.75,1.7
2014-10-22,43.9,29.1,17.9,4.0,3.5,22.52,72.25,1.8666669999999999
2014-10-23,0.0,30.7,17.1,7.1,2.9,22.84,64.75,2.066667
2014-10-24,0.0,32.3,18.5,9.6,4.7,25.2,44.0,1.7333330000000002
2014-10-25,0.0,30.9,18.1,1.1,6.0,22.04,71.0,1.533333
2014-10-26,37.6,22.3,17.1,0.0,3.1,18.72,94.5,1.166667
2014-10-27,3.2,28.7,17.1,6.0,0.7,21.56,78.0,1.7333330000000002
2014-10-28,1.0,31.9,17.1,10.1,2.7,23.36,63.5,1.533333
2014-10-29,0.0,30.1,18.9,8.2,5.3,22.92,65.75,1.9
2014-10-30,0.0,30.3,18.5,5.2,4.1,22.08,79.25,2.233333
2014-10-31,12.2,28.3,18.1,2.9,2.4,21.52,80.5,1.366667
2014-11-01,0.0,30.3,16.9,5.8,2.3,22.76,72.75,1.333333
2014-11-02,20.0,30.1,18.3,5.1,3.6,23.24,74.25,1.533333
2014-11-03,2.5,31.5,18.3,9.7,3.3,24.68,53.0,1.166667
2014-11-04,0.0,31.3,19.7,6.8,7.7,25.08,53.25,1.7333330000000002
2014-11-05,0.0,30.1,20.1,2.1,6.4,25.0,63.0,1.166667
2014-11-06,0.0,31.1,19.9,6.4,4.8,24.2,61.75,1.9
2014-11-07,0.0,32.3,18.7,8.9,5.2,23.84,69.75,2.233333
2014-11-08,14.7,29.7,17.3,7.0,5.4,23.08,67.75,2.066667
2014-11-09,0.0,32.5,19.1,7.2,5.2,25.96,52.5,1.533333
2014-11-10,0.0,29.3,19.1,4.5,5.8,22.2,83.5,1.366667
2014-11-11,2.4,30.5,16.5,7.8,2.2,22.72,70.25,1.7
2014-11-12,45.2,26.9,18.3,0.2,3.6,20.92,90.75,1.7
2014-11-13,8.1,28.7,17.7,6.4,1.1,22.32,79.75,2.4
2014-11-14,1.1,28.7,19.5,4.0,2.9,22.44,84.25,1.166667
2014-11-15,20.8,28.3,17.9,3.4,1.9,21.28,86.0,1.0
2014-11-16,6.0,28.5,16.5,10.7,2.6,21.84,60.5,1.533333
2014-11-17,0.0,28.3,17.1,8.3,4.8,22.16,59.75,1.533333
2014-11-18,0.0,27.9,17.7,8.9,6.0,22.52,59.75,1.366667
2014-11-19,0.0,29.7,15.7,10.8,6.1,22.64,48.75,1.9
2014-11-20,0.0,30.3,17.3,9.8,7.4,23.36,59.75,1.333333
2014-11-21,0.0,31.5,18.5,10.3,7.8,24.52,47.75,1.533333
2014-11-22,0.0,31.9,19.7,5.9,7.6,23.6,75.0,1.533333
2014-11-23,12.8,27.1,18.9,2.9,3.7,21.92,82.25,1.8666669999999999
2014-11-24,1.1,26.5,19.1,0.9,2.2,21.52,81.75,1.166667
2014-11-25,16.8,26.1,19.5,2.9,1.9,21.96,87.0,1.533333
2014-11-26,48.5,27.1,18.3,3.2,1.2,22.04,88.75,1.7
2014-11-27,35.0,27.5,19.1,2.9,2.0,22.2,90.75,1.366667
2014-11-28,10.0,24.5,18.7,0.0,1.4,20.36,89.75,1.366667
2014-11-29,14.3,30.1,18.1,3.9,1.1,23.44,74.25,1.0
2014-11-30,0.0,26.5,19.1,0.4,3.9,21.72,90.75,2.066667
2014-12-01,22.9,25.5,17.3,0.3,1.6,19.96,88.75,2.933333
2014-12-02,5.9,23.9,16.3,0.1,1.6,19.54,84.75,1.9
2014-12-03,3.2,29.3,16.1,9.6,1.7,22.8,63.0,2.566667
2014-12-04,0.0,30.9,16.7,8.6,4.5,25.04,54.0,1.366667
2014-12-05,0.0,26.9,19.1,0.9,4.0,22.12,85.0,1.8666669999999999
2014-12-06,6.4,23.9,17.5,0.2,1.1,19.8,84.75,2.766667
2014-12-07,0.0,23.9,18.1,0.0,2.7,20.52,77.75,2.2
2014-12-08,0.0,21.3,18.1,0.0,2.7,19.32,92.0,2.266667
2014-12-09,6.9,22.5,17.2,0.4,0.2,18.84,91.25,2.0333330000000003
2014-12-10,2.7,25.5,17.5,0.8,1.1,20.52,89.0,2.8666669999999996
2014-12-11,66.9,24.5,17.7,0.4,1.3,20.0,90.75,1.9
2014-12-12,1.2,26.9,17.1,3.1,1.8,21.88,74.25,2.933333
2014-12-13,5.5,25.7,17.7,3.8,2.2,21.68,82.0,2.233333
